"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"Standard deviation",3.45182280601664,2.32748184927652,1.68206159900852,1.55551466972417,1.36424776642653,1.22974602249173,1.09090043906278,1.05474954523368,0.902087601058366,0.849713734953655,0.782701794840056,0.741528610939155,0.661172960153035,0.576898313068193,0.52482714498167,0.472995205314735,0.390989941859453,0.381688007803595,0.366230323199182,0.277990606649193,0.248444957999175,0.245013077954452,0.215040842603072,0.182598994672452,0.151833758404517,0.116858241048395,0.111030475605526,0.100385291700615,0.062290858253243,0.0327471354675497,0.004434177654437,0.00108314665186835,8.87171290590157e-14
"Proportion of Variance",0.36106,0.16416,0.08574,0.07332,0.0564,0.04583,0.03606,0.03371,0.02466,0.02188,0.01856,0.01666,0.01325,0.01009,0.00835,0.00678,0.00463,0.00441,0.00406,0.00234,0.00187,0.00182,0.0014,0.00101,7e-04,0.00041,0.00037,0.00031,0.00012,3e-05,0,0,0
"Cumulative Proportion",0.36106,0.52522,0.61096,0.68428,0.74068,0.7865,0.82257,0.85628,0.88094,0.90282,0.92138,0.93804,0.95129,0.96138,0.96972,0.9765,0.98114,0.98555,0.98961,0.99196,0.99383,0.99565,0.99705,0.99806,0.99876,0.99917,0.99954,0.99985,0.99997,1,1,1,1
