"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"11","Spk","Std2","VRM","nor","nmodes","SCI","Sk","Sdc","Sk","SCI","CuTot","Stxr1","rEnt","SAR","rEnt","MAD","Sdr","east","Srw2","SAR","CuPl","Sku","Sk","Srw2","Sdq","Stxr2","Sfd","Sdr","Sdr","SAR","MAD","CuPl"
"12","SCI","Sfd","Sdq","east","Srw3","Sfd","Sdr","Sfd","Slope","Smean","Sfd","Smean","VRM","VRM","CuPro","nor","TPIv1","Srw2","SBI","Sdc","SCI","Ssk","Spk","Sdr","Sds","Spk","MAD","Smean","Sdc","Sdc","SBI","Sds"
"13","Svk","Sdr","SAR","Smean","Srw2","Smean","Sfd","Sds","CuPro","CuPl","Smean","VRM","SAR","Stxr2","Svk","Sdr","MAD","SBI","SCI","Stxr1","range","Smean","VRM","Sfd","Spk","Stxr1","Smean","VRM","Stxr2","Ssk","Sdr","nor"
"14","Sds","Sku","Stxr2","Sfd","Sdr","SBI","Std2","CuTot","rEnt","Sk","CuPl","nor","Sku","Srw2","Stxr2","Sk","SBI","Stxr2","Sdc","CuTot","CuPro","Sdq","Sdr","Std2","TPIv1","range","Stxr2","Sku","rEnt","Sfd","rEnt","CuPro"
"15","Sfd","Sdq","Stxr1","Stxr1","Sfd","Sdr","CuPro","east","Sfd","Sds","MAD","Srw3","CuTot","Spk","Stxr1","SCI","Ssk","Sfd","east","TPIv1","MAD","CuPro","Stxr1","Sku","CuPl","Smean","Svk","Sfd","SCI","SBI","Sfd","Sku"
"16","Sdr","MAD","Slope","Sds","SBI","TPIv1","MAD","Svk","Stxr1","Sfd","Sdr","Sdq","Sdr","rEnt","Sdc","Sdc","nmodes","VRM","Smean","Svk","Sds","nmodes","SCI","nor","Smean","Srw2","Sdc","Ssk","CuPl","Sdr","VRM","CuTot"
"17","CuPro","Slope","rEnt","Sdr","Spk","CuPro","rEnt","SAR","Sdq","VRM","Svk","east","Std2","nor","stdv","VRM","range","Sku","CuTot","Std2","CuTot","Std2","MAD","nmodes","nmodes","TPIv1","Sdr","SBI","Stxr1","Srw3","CuPl","TPIv1"
"18","CuTot","SAR","Spk","Sku","Ssk","range","nor","Std2","Sdr","MAD","rEnt","CuTot","TPIv1","CuTot","CuTot","Smean","SCI","Svk","Sdq","stdv","Sku","SCI","Srw3","Smean","Std2","SCI","SCI","Stxr1","TPIv1","Sds","Ssk","SCI"
"19","CuPl","east","CuTot","CuPl","Sku","Spk","SBI","stdv","range","Std2","stdv","CuPro","MAD","east","SAR","SAR","Sfd","Sdq","Sk","Stxr2","Sdq","CuTot","Srw2","VRM","Stxr1","Sds","Stxr1","Stxr2","Smean","Srw2","Stxr2","Smean"
"20","Srw3","nmodes","range","SAR","Sdc","MAD","TPIv1","Sk","Ssk","Svk","Stxr2","Sfd","Sk","Stxr1","Spk","Svk","Smean","Sdr","Sds","Ssk","TPIv1","Sfd","range","Stxr1","SCI","Srw3","Ssk","SCI","east","east","Srw3","Sdc"
"21","Std2","TPIv1","stdv","stdv","nor","Sk","SAR","Srw2","CuPl","Stxr1","nor","MAD","Stxr2","Svk","east","Stxr1","Sdq","SAR","Srw3","SBI","east","nor","Smean","CuPl","Ssk","nmodes","Srw2","nmodes","Sds","Stxr2","nmodes","MAD"
"22","nor","VRM","Srw2","rEnt","Svk","stdv","Sdc","SCI","stdv","Sdr","Sdc","Svk","Spk","Slope","nor","Sds","CuTot","Std2","Sdr","Srw2","nmodes","Sdr","Sku","Srw3","Slope","CuPl","nmodes","rEnt","range","Sku","TPIv1","stdv"
"23","Srw2","stdv","Sdc","nmodes","VRM","Sds","Slope","CuPro","SCI","SBI","Sdq","Slope","Smean","CuPro","TPIv1","Stxr2","nor","TPIv1","Std2","CuPro","Svk","CuPl","nmodes","Sds","Sku","Sdq","east","TPIv1","Sku","CuTot","Stxr1","Spk"
"24","nmodes","Sk","TPIv1","CuTot","Sdq","SAR","stdv","Spk","Sdc","Sdq","Spk","Sku","SCI","SCI","Sku","stdv","Spk","Slope","stdv","Sfd","Sdr","MAD","CuTot","TPIv1","Sdc","Sdc","nor","CuPro","SBI","CuPro","Std2","east"
"25","rEnt","range","Sk","range","Slope","Stxr1","Sdq","Smean","Std2","rEnt","Slope","Sdr","Slope","Sdq","Sk","SBI","Svk","stdv","CuPro","nmodes","Sk","SBI","Sfd","stdv","Stxr2","CuPro","TPIv1","CuTot","nmodes","Std2","Sds","Sk"
"26","Stxr1","Spk","SBI","Srw2","east","rEnt","VRM","nor","Srw3","Slope","Stxr1","stdv","stdv","Sk","Sdq","TPIv1","Slope","Ssk","rEnt","Sdq","SBI","SAR","CuPro","CuPro","east","Std2","Sds","east","Srw2","TPIv1","CuPro","Svk"
"27","SBI","Ssk","MAD","Slope","Sds","Stxr2","Ssk","Slope","TPIv1","Stxr2","Sk","Sdc","Sdq","TPIv1","range","CuPro","CuPro","Spk","MAD","Slope","Srw3","east","Ssk","Svk","CuPro","CuTot","CuPro","Sds","CuTot","rEnt","nor","SAR"
"28","Stxr2","nor","Svk","MAD","range","Slope","range","nmodes","Sku","range","Ssk","range","Sds","Smean","nmodes","Sdq","east","MAD","Sfd","nor","SAR","TPIv1","east","Stxr2","nor","Svk","CuTot","Srw3","Srw3","nmodes","CuTot","range"
"29","Sku","Sds","CuPro","Sk","SAR","CuTot","Sds","Sdq","Svk","Srw3","Sds","SAR","east","MAD","SBI","Slope","Stxr2","Sk","Slope","east","Srw2","Srw2","stdv","east","CuTot","Sku","CuPl","Srw2","Ssk","VRM","SAR","Srw2"
"30","Ssk","Sdc","Smean","CuPro","Sk","Sdc","Smean","VRM","Smean","SAR","SAR","Sk","range","stdv","Srw2","Sku","stdv","nor","range","Sdr","Std2","Srw3","nor","Sdq","Srw2","nor","Srw3","nor","Std2","CuPl","east","Sdq"
"31","TPIv1","CuPl","nor","Sdq","stdv","Sdq","Spk","range","Spk","stdv","SBI","Spk","nor","range","Slope","CuTot","Stxr1","rEnt","VRM","Srw3","Slope","rEnt","Std2","CuTot","Svk","east","Sku","Std2","CuPro","nor","Srw2","Slope"
"32","east","Svk","SCI","Std2","MAD","VRM","SCI","Srw3","SAR","Sdc","range","CuPl","Stxr1","SBI","Ssk","range","Sku","range","nor","range","nor","Slope","Sds","Ssk","Srw3","Ssk","Std2","CuPl","nor","Stxr1","Sku","VRM"
