"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"1","range","SBI","Sdr","Ssk","CuTot","Svk","Sku","Sku","nor","nor","nmodes","TPIv1","Srw3","Std2","Sds","Srw2","Sdc","Sds","Svk","MAD","Stxr1","Spk","SAR","Sk","Sdr","SBI","Sdq","stdv","Slope","range","Smean","rEnt"
"2","stdv","rEnt","Sds","TPIv1","Stxr2","east","Srw2","Stxr1","east","east","east","rEnt","Ssk","Ssk","VRM","Ssk","CuPl","CuPro","SAR","Sk","Stxr2","Svk","Sdq","SAR","Sfd","MAD","VRM","Slope","Sdq","Sk","SCI","SBI"
"3","Slope","Stxr1","Std2","Spk","CuPl","CuPl","Srw3","Stxr2","nmodes","Srw2","Std2","Ssk","Sdc","Sdc","Sdr","Srw3","Sds","Srw3","Sku","Sku","VRM","VRM","rEnt","range","MAD","Sfd","Slope","MAD","stdv","Spk","range","Ssk"
"4","Sk","Stxr2","Sfd","Svk","CuPro","nor","nmodes","CuPl","Srw2","Ssk","TPIv1","Std2","Srw2","Srw3","Srw3","Std2","Srw3","SCI","Spk","VRM","Spk","Sk","SBI","MAD","Sk","Sdr","SBI","Sdq","MAD","Svk","Sk","nmodes"
"5","Sdq","SCI","nmodes","Sdc","Stxr1","Srw2","east","Ssk","Sds","TPIv1","Srw3","SBI","nmodes","Sfd","Sfd","Spk","VRM","nmodes","Ssk","Spk","Sdc","Stxr2","Slope","SBI","SBI","rEnt","rEnt","Spk","Spk","Smean","Sdc","Sdr"
"6","MAD","CuPro","Sku","SBI","TPIv1","Sku","Stxr2","TPIv1","Stxr2","Sku","CuPro","nmodes","CuPl","CuPl","MAD","nmodes","Std2","CuTot","TPIv1","SCI","stdv","Sdc","CuPl","rEnt","SAR","VRM","stdv","Sk","Sk","SCI","Spk","Std2"
"7","SAR","CuTot","Ssk","Stxr2","rEnt","Srw3","CuPl","SBI","VRM","nmodes","Sku","Stxr2","Svk","Sku","SCI","east","rEnt","Sdc","Stxr2","rEnt","rEnt","Sds","Svk","Sdc","rEnt","SAR","range","Svk","VRM","stdv","Svk","Sfd"
"8","VRM","Srw2","CuPl","VRM","Std2","nmodes","CuTot","rEnt","SBI","CuPro","VRM","Srw2","CuPro","Sdr","Std2","Sfd","Sk","CuPl","nmodes","Smean","Smean","Stxr1","TPIv1","Spk","stdv","Sk","SAR","range","SAR","MAD","stdv","Stxr2"
"9","Sdc","Smean","east","SCI","SCI","Ssk","Stxr1","MAD","CuTot","CuTot","Srw2","SCI","SBI","nmodes","Smean","rEnt","Srw2","Smean","CuPl","Sds","Sfd","stdv","Sdc","SCI","range","stdv","Sk","Sdc","Sfd","Slope","Slope","Stxr1"
"10","Smean","Srw3","Srw3","Srw3","Smean","Std2","Svk","Sdr","MAD","Spk","SCI","Sds","Sfd","Sds","CuPl","CuPl","SAR","Stxr1","Stxr1","CuPl","Ssk","range","Stxr2","Slope","VRM","Slope","Spk","SAR","Svk","Sdq","Sdq","Srw3"
