"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"Standard deviation",3.4605521347344,2.07393329139181,1.79649948934009,1.70899077376657,1.37342896283089,1.26556356291864,1.11846432503509,1.094209390281,1.04791209533082,0.96811325453687,0.899616596557717,0.880950514841585,0.825556966712257,0.710097673077061,0.620457017812445,0.571592219341632,0.517134195914024,0.431678422294233,0.427786999905518,0.336389599037105,0.301193629462352,0.28701833269038,0.253874540734572,0.22841358575303,0.148914603287631,0.145126297239505,0.117778142732939,0.113956826907358,0.0944062997695154,0.0350793968997485,0.0312598834199864,0.00352815329344617,0.00255908338645225,0.000423655589589122,1.41394867978125e-14
"Proportion of Variance",0.34215,0.12289,0.09221,0.08345,0.05389,0.04576,0.03574,0.03421,0.03137,0.02678,0.02312,0.02217,0.01947,0.01441,0.011,0.00933,0.00764,0.00532,0.00523,0.00323,0.00259,0.00235,0.00184,0.00149,0.00063,6e-04,4e-04,0.00037,0.00025,4e-05,3e-05,0,0,0,0
"Cumulative Proportion",0.34215,0.46505,0.55726,0.64071,0.6946,0.74036,0.7761,0.81031,0.84169,0.86846,0.89159,0.91376,0.93323,0.94764,0.95864,0.96797,0.97562,0.98094,0.98617,0.9894,0.99199,0.99435,0.99619,0.99768,0.99831,0.99891,0.99931,0.99968,0.99994,0.99997,1,1,1,1,1
