"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"Standard deviation",3.46382316617357,2.03817461893096,1.64506095653524,1.56220494217628,1.41402472868878,1.2613617089147,1.11256308923404,0.987711199299894,0.919070002823847,0.895491605841395,0.78917789907916,0.704600937272235,0.631850574290228,0.596731749673066,0.539853416215921,0.528434470254975,0.439271229139693,0.38601225011218,0.372321215659844,0.29898044149055,0.272758074430596,0.25118209120547,0.206446639753911,0.136989597767582,0.121892716178412,0.10873261851526,0.0900455029282915,0.0332917766284971,0.023630282416534,0.00411852502837276,0.00101740440389175,6.20047885795741e-16
"Proportion of Variance",0.37494,0.12982,0.08457,0.07627,0.06248,0.04972,0.03868,0.03049,0.0264,0.02506,0.01946,0.01551,0.01248,0.01113,0.00911,0.00873,0.00603,0.00466,0.00433,0.00279,0.00232,0.00197,0.00133,0.00059,0.00046,0.00037,0.00025,3e-05,2e-05,0,0,0
"Cumulative Proportion",0.37494,0.50476,0.58933,0.66559,0.72808,0.77779,0.81648,0.84696,0.87336,0.89842,0.91788,0.9334,0.94587,0.957,0.96611,0.97483,0.98086,0.98552,0.98985,0.99265,0.99497,0.99694,0.99827,0.99886,0.99932,0.99969,0.99995,0.99998,1,1,1,1
