"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"Standard deviation",3.4562935500071,2.30232126713597,1.91060635289886,1.53287378268628,1.32488334804535,1.29854904285894,1.12463125121521,1.1070415099946,0.967603078278463,0.9176001518703,0.903290784083664,0.813238078310704,0.785197816849086,0.657636514345689,0.57500484357187,0.503316534260582,0.429370381072051,0.417494013677976,0.360973076167143,0.321099043338805,0.295420668599848,0.269360771360595,0.246018616991325,0.197512875838717,0.151100388005077,0.139870197260337,0.117790167696141,0.115189308018573,0.0993863066002853,0.032615254402915,0.0301145852761112,0.00344030977860507,0.0023821597946093,0.000406906410256385,6.93129898897287e-15
"Proportion of Variance",0.34131,0.15145,0.1043,0.06713,0.05015,0.04818,0.03614,0.03502,0.02675,0.02406,0.02331,0.0189,0.01762,0.01236,0.00945,0.00724,0.00527,0.00498,0.00372,0.00295,0.00249,0.00207,0.00173,0.00111,0.00065,0.00056,4e-04,0.00038,0.00028,3e-05,3e-05,0,0,0,0
"Cumulative Proportion",0.34131,0.49276,0.59706,0.66419,0.71435,0.76252,0.79866,0.83368,0.86043,0.88448,0.9078,0.92669,0.94431,0.95666,0.96611,0.97335,0.97861,0.98359,0.98732,0.99026,0.99276,0.99483,0.99656,0.99767,0.99833,0.99889,0.99928,0.99966,0.99994,0.99997,1,1,1,1,1
