"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"1","range","CuPro","CuPl","TPIv1","Sku","Stxr1","east","Sku","nor","east","TPIv1","TPIv1","CuPl","Sdc","Sds","Std2","Srw3","Svk","Sk","Sdc","MAD","Ssc","rEnt","Stxr2","SAR","SBI","Sdq","stdv","Sfd","Slope","range","Smean","nmodes"
"2","stdv","CuTot","Sfd","Ssk","nmodes","SCI","Stxr1","nmodes","nmodes","nor","nor","nmodes","Ssk","VRM","Std2","Sdc","Srw2","Spk","Stxr2","CuPl","VRM","Stxr2","SAR","Ssc","Sk","MAD","Slope","MAD","Sdr","Sdq","Sk","SCI","CuPro"
"3","Slope","rEnt","Sdr","Spk","CuPl","nor","Sku","Stxr1","east","Srw3","nmodes","Srw2","nmodes","Srw2","Ssc","Sdr","Sdc","Ssk","Ssc","VRM","Spk","rEnt","CuTot","Stxr1","Slope","VRM","Sk","Sdq","Sdq","stdv","Spk","range","Ssk"
"4","Sk","SBI","VRM","Svk","Srw3","Smean","Stxr2","east","rEnt","SCI","Ssk","Ssk","Sdr","Spk","Srw2","Srw2","SBI","Sku","MAD","Srw2","Svk","Stxr1","VRM","rEnt","MAD","Spk","VRM","Spk","Slope","Sdr","Svk","Sk","rEnt"
"5","Sdq","Stxr2","SBI","Sdc","Srw2","Stxr2","Srw2","Svk","CuTot","Ssk","east","Srw3","Sfd","Ssk","nmodes","Sfd","Sds","SAR","Stxr1","MAD","SAR","SBI","CuPro","Sds","range","Sk","MAD","Slope","stdv","Sfd","Smean","Spk","VRM"
"6","MAD","Srw3","Ssk","SBI","Svk","TPIv1","CuTot","Sds","Std2","Srw2","CuPl","CuTot","nor","Std2","Sfd","Svk","Svk","Sdc","SBI","Ssc","SBI","Sfd","SBI","Sdr","Sdq","Stxr2","range","Sk","MAD","MAD","SCI","Svk","CuTot"
"7","SAR","Stxr1","Ssc","Stxr1","CuPro","Svk","Srw3","Stxr2","Ssk","Smean","Sfd","east","VRM","TPIv1","Sdr","Sds","Stxr1","TPIv1","Svk","Srw3","CuPl","SAR","Sk","SBI","Sdc","SAR","Svk","Sdc","SBI","Sk","stdv","Sdc","Slope"
"8","Sdc","Ssc","rEnt","SCI","east","east","CuPro","MAD","Srw3","Std2","Sdr","nor","MAD","Sds","TPIv1","SAR","VRM","CuPl","CuPl","stdv","CuTot","Sdr","Stxr1","Sfd","Svk","rEnt","Spk","range","Stxr2","Spk","Slope","stdv","Sdq"
"9","VRM","Srw2","Std2","Ssc","Sds","SBI","Ssk","nor","CuPro","CuPl","Sku","CuPro","rEnt","nmodes","Svk","Srw3","rEnt","Std2","CuTot","Sds","TPIv1","Srw3","MAD","Sk","SBI","stdv","Sdc","Svk","Spk","VRM","MAD","Slope","TPIv1"
"10","Spk","Std2","Sds","east","Std2","Ssk","SCI","SCI","Stxr1","Spk","rEnt","Sku","Sdc","SAR","Sku","Ssc","Stxr2","east","Srw3","Sku","Sku","Svk","Spk","SAR","Stxr2","Slope","SBI","SAR","Sk","Sdc","Sdq","Sdq","Sdr"
