"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"11","Sds","SCI","Sdq","Sfd","VRM","MAD","nmodes","CuPro","Sku","SBI","SCI","SCI","SCI","Sdq","SAR","CuPl","Std2","Ssc","Srw2","nmodes","Sdc","Sk","Stxr2","Sdq","Stxr1","Svk","SAR","VRM","Stxr1","SBI","SAR","SBI","Sfd"
"12","Smean","CuPl","SCI","Smean","range","Spk","Smean","CuTot","VRM","Sfd","Std2","Std2","Srw2","Slope","east","Sku","Smean","Sfd","Sds","TPIv1","SCI","Spk","Sdc","Sku","CuPl","Stxr1","Stxr2","Stxr1","Svk","Svk","SBI","SAR","Sk"
"13","Sfd","Smean","east","Sdr","Sdc","nmodes","rEnt","Smean","Srw2","nmodes","Smean","Smean","Srw3","range","MAD","nmodes","CuPro","Sdr","Spk","CuPro","Sds","Std2","SCI","Spk","Spk","SCI","Sku","Sdr","Srw3","Sku","VRM","Sfd","SAR"
"14","Ssc","Sds","Stxr2","nor","stdv","Sk","MAD","Sk","MAD","Sds","Ssc","Svk","Sk","rEnt","CuTot","rEnt","SCI","MAD","Sku","Sdq","range","CuPl","CuPl","Std2","SCI","Sdq","Ssc","Stxr2","rEnt","Ssc","CuPl","rEnt","SBI"
"15","Svk","Sdr","SAR","Stxr2","CuTot","Sdc","Svk","rEnt","Svk","stdv","Srw2","SBI","stdv","Sdr","Srw3","east","stdv","Srw3","Ssk","Stxr2","rEnt","CuTot","TPIv1","Svk","stdv","Smean","Stxr1","CuPl","Sds","east","CuTot","Sdr","Svk"
"16","Sdr","Sku","Stxr1","Srw3","Sk","VRM","Ssc","stdv","Sk","CuTot","Svk","VRM","Smean","east","CuPro","VRM","Sdr","Sk","TPIv1","Ssk","Slope","Sdc","Smean","Slope","nor","CuTot","Sdr","Ssk","Std2","SCI","Srw3","CuTot","range"
"17","Std2","Sfd","Slope","SAR","Stxr1","stdv","Sdc","Ssc","Stxr2","Sdr","CuPro","Spk","Std2","Sfd","VRM","Stxr1","CuPl","nor","Sdq","Sk","Ssc","MAD","Sdr","Srw3","Ssc","CuPro","Srw3","Sku","SCI","SAR","TPIv1","CuPl","CuPl"
"18","SCI","Ssk","Smean","Sku","Smean","SAR","Sk","VRM","SBI","MAD","VRM","Sk","Stxr1","Sku","Ssk","Ssk","CuTot","VRM","CuPro","Slope","Smean","stdv","Slope","Srw2","Sds","Sku","Smean","Srw2","range","CuPl","Sdr","TPIv1","Sds"
"19","Srw2","TPIv1","CuTot","Sds","Stxr2","Sdq","Std2","Sdr","Sds","TPIv1","Slope","Sfd","CuTot","Srw3","nor","Slope","Sfd","SBI","VRM","SAR","nmodes","Srw2","Ssk","MAD","rEnt","Srw2","CuTot","Srw3","CuTot","Std2","Sfd","Srw2","Stxr1"
"20","Srw3","Sdc","Spk","rEnt","nor","Srw2","nor","TPIv1","CuPl","Sku","Sdq","MAD","Spk","SBI","Sdc","stdv","SAR","Srw2","Slope","SBI","CuPro","TPIv1","Sdq","Sdc","Std2","Ssk","CuPro","Ssc","SAR","CuPro","Sdc","Ssk","Smean"
"21","nmodes","Spk","MAD","Sk","MAD","Slope","Sfd","CuPl","stdv","Sk","SAR","Sdc","SAR","Svk","Stxr2","MAD","Sk","Smean","Sdr","Smean","Sk","Ssk","stdv","nor","Srw2","Sdr","Ssk","SBI","CuPro","Ssk","CuPro","Stxr2","Sku"
"22","nor","VRM","stdv","Slope","Ssc","rEnt","VRM","Sfd","SCI","rEnt","Sds","Sdr","CuPro","stdv","CuPl","TPIv1","Spk","stdv","Sfd","Svk","east","Smean","Svk","CuPro","Sdr","east","east","CuPro","Smean","range","rEnt","Ssc","stdv"
"23","CuPro","nor","nmodes","nmodes","SCI","range","SAR","Ssk","Sdc","Sdc","range","CuPl","east","CuPl","SBI","SBI","nor","Sds","Sdc","range","Srw3","SCI","range","east","CuPro","range","rEnt","TPIv1","nor","nor","Ssk","CuPro","MAD"
"24","CuTot","Sdq","Sdc","Sdq","SAR","Srw3","Sdr","SBI","Sfd","range","SBI","Sds","SBI","SCI","Spk","range","Sku","Sdq","SCI","Stxr1","Std2","CuPro","Sds","CuTot","Sku","Srw3","SCI","Smean","Sdc","nmodes","Srw2","Sds","SCI"
"25","SBI","Slope","range","Std2","Spk","CuPl","CuPl","SAR","Smean","Stxr2","Sk","range","Ssc","Stxr1","Sdq","Sdq","Slope","SCI","Smean","Std2","Sdq","Slope","Std2","CuPl","Ssk","CuPl","Std2","Std2","CuPl","Smean","Sds","east","Sdc"
"26","rEnt","range","Sk","CuTot","Sdr","CuPro","stdv","Srw2","TPIv1","VRM","Stxr2","Sdq","Stxr2","Stxr2","range","Stxr2","MAD","CuPro","rEnt","SCI","Sfd","VRM","Sfd","TPIv1","Srw3","Sds","nor","rEnt","nmodes","Sds","nmodes","MAD","Std2"
"27","Sku","SAR","Svk","Srw2","rEnt","Sfd","SBI","Srw3","Sdq","Ssc","Spk","rEnt","TPIv1","nor","Smean","SCI","TPIv1","CuTot","SAR","rEnt","Sdr","Sds","Srw2","Ssk","VRM","Sfd","Srw2","nmodes","Srw2","rEnt","Stxr1","Std2","east"
"28","CuPl","stdv","TPIv1","CuPro","SBI","CuTot","Slope","Sdq","Sdr","Stxr1","Srw3","SAR","Sds","Smean","SCI","CuPro","range","Stxr1","east","Spk","Stxr1","range","nor","SCI","nmodes","nmodes","Sfd","Sds","TPIv1","Srw2","nor","Srw3","Srw3"
"29","Ssk","Sk","Srw3","VRM","Sfd","Std2","Spk","Slope","range","SAR","Stxr1","Stxr2","range","CuPro","Slope","Smean","east","rEnt","stdv","nor","stdv","east","Srw3","VRM","Smean","TPIv1","stdv","nor","Ssc","CuTot","Ssc","nmodes","Srw2"
"30","TPIv1","east","Sku","stdv","TPIv1","Sku","Sds","Spk","Slope","CuPro","MAD","Slope","Sdq","MAD","stdv","CuTot","Sdq","Slope","range","CuTot","Ssk","nmodes","Sku","Smean","east","nor","CuPl","CuTot","Sku","Srw3","east","Sku","Ssc"
"31","Stxr1","nmodes","Srw2","range","Slope","Sdr","range","Sdc","Spk","Slope","stdv","Stxr1","Svk","Sk","Sk","Spk","Ssk","nmodes","nmodes","east","Srw2","nor","east","stdv","TPIv1","Ssc","Sds","Sfd","VRM","Stxr1","Sku","Stxr1","Stxr2"
"32","Stxr2","Svk","nor","MAD","Ssk","Ssc","Sdq","Std2","SAR","Svk","Sdc","stdv","Sku","CuTot","rEnt","Sk","nmodes","Stxr2","nor","Sdr","nor","Sku","nmodes","nmodes","CuTot","Std2","TPIv1","east","east","Stxr2","Stxr2","VRM","Spk"
"33","east","MAD","CuPro","CuPl","Sdq","Sds","TPIv1","range","Ssc","Sdq","CuTot","Ssc","Slope","Ssc","Stxr1","nor","Ssc","range","Std2","Sfd","Stxr2","Sdq","Ssc","range","Sfd","Sdc","nmodes","SCI","Ssk","TPIv1","Std2","nor","nor"
