"","PC1_Rval","PC2_Rval","PC3_Rval","PC4_Rval","PC5_Rval","PC6_Rval","PC7_Rval","PC8_Rval","PC9_Rval","PC10_Rval","PC11_Rval","PC12_Rval","PC13_Rval","PC14_Rval","PC15_Rval","PC16_Rval","PC17_Rval","PC18_Rval","PC19_Rval","PC20_Rval","PC21_Rval","PC22_Rval","PC23_Rval","PC24_Rval","PC25_Rval","PC26_Rval","PC27_Rval","PC28_Rval","PC29_Rval","PC30_Rval","PC31_Rval","PC32_Rval","PC33_Rval","PC34_Rval","PC35_Rval"
"25",0.661534967234202,0.374931674256138,0.348634780699306,0.261438202706808,0.227539597125501,0.225680285914345,0.11824832338967,0.137635653518415,0.094384416427778,0.0956175558271326,0.0859700238007958,0.106022540160273,0.118191787873422,0.126016149771249,0.0883453131398502,0.0787869439005046,0.072255911977726,0.0518881260713421,0.0617566502123785,0.049785916707205,0.0550106961422535,0.0453392206978669,0.034302076670335,0.0170857134075805,0.0196883997059983,0.0169362526436735,0.0139730892922952,0.0194389854377479,0.00988516679589099,0.00264544259503356,0.00150333606000505,5.35152239557522e-05,1.89063873423732e-05,1.32411143793649e-06,0.0412365739806681
"26",0.706619335356808,0.418439506067935,0.405089469184682,0.298117749146934,0.253192204644782,0.244232851028186,0.127567204628334,0.14316259313601,0.0949505720673192,0.105052951067269,0.146480028548812,0.107231403962964,0.120244726385551,0.13271121024424,0.0933130306343215,0.0792897449045886,0.0731956546598368,0.0536006179242907,0.0650431195829842,0.0539669050540531,0.0624366005830082,0.0460826645547232,0.0367797518941217,0.0239350315015184,0.0200502397657219,0.0174940871747395,0.015410513991196,0.0252935373644359,0.00992120425857459,0.0026756415247807,0.00155905861831671,7.38952339276288e-05,2.75885119131313e-05,1.40400485257184e-06,0.0432227767216661
"27",0.716828551686133,0.490075291978849,0.412424497347015,0.298460180363882,0.25457828311867,0.308494731716665,0.13511749374604,0.147815577107615,0.0966245248892794,0.110002235194903,0.155133188629109,0.115023491147493,0.122758727117864,0.138540938254732,0.109586659093648,0.0833115359779687,0.077645293117917,0.0556110068466484,0.0686276955333999,0.0540914495749472,0.0640477145291241,0.0465025227747828,0.0457679270899496,0.0276739167888393,0.0201970205106839,0.0198089154363758,0.0157185261138198,0.0258084049565252,0.0113986147109713,0.00322844838291595,0.0017943585054592,0.000101493425013685,3.12817972996895e-05,1.51714201162676e-06,0.0444920745832883
"28",0.792965639364688,0.491665980113586,0.43316737631691,0.319131828432717,0.278934445351915,0.336064007665815,0.149052710101115,0.147847107032368,0.0970342710460115,0.11611897666288,0.160101671107346,0.115995061003008,0.125207000729982,0.147681080609352,0.113465514073056,0.0887244226557495,0.078492113902228,0.0598570636074224,0.0722167978033951,0.0598883295094241,0.0709890213641917,0.0471015960787705,0.0488171720236229,0.0335202410775856,0.0259893258369724,0.0225312368263948,0.0191067407961619,0.0282177407563911,0.0139783422739481,0.00349616358139981,0.00191466116472386,0.00015873741805367,4.53428801296834e-05,1.54987500013463e-06,0.0460835111812374
"29",0.897620384616689,0.54665561039041,0.481064961136449,0.35387477889527,0.317687456837137,0.346469688299906,0.165797372215961,0.163716234885717,0.115604249539542,0.132457331598834,0.174650575817578,0.153966335264897,0.171007713084048,0.155019170035823,0.127046535811454,0.103220561457189,0.0797512561624437,0.0649485301709076,0.0739140331108097,0.0643773468383518,0.0738130780683789,0.055534770252687,0.0558696168380704,0.0402314670813457,0.0260186439687179,0.0258168938725653,0.0198712968684433,0.0314045352789774,0.0167656899817467,0.00379484859346626,0.00192045850560574,0.000322627119702357,0.000415846172098248,2.5512398058985e-06,0.0519422392738357
"30",0.898336976331522,0.550920106312898,0.485267852338527,0.357275094110349,0.318445073683321,0.352681412711414,0.220466165828542,0.190045614402071,0.124628247772826,0.135939245530831,0.190036199150195,0.159994193880288,0.175008677159352,0.160248198319463,0.148740965188007,0.109641415435879,0.0924250549588528,0.0863011682934736,0.0878870448561193,0.0662009940707578,0.0751621375876011,0.0557180665327822,0.0566839126571634,0.0471517210891464,0.0261081901251533,0.0366154381027924,0.0225341610604999,0.0356011183786776,0.0218373710882069,0.00493443582412641,0.00237126921360381,0.000390316951344249,0.000467619946091033,3.37486632400046e-06,0.0526277873992743
"31",0.902089326133636,0.690428992356976,0.488979822335066,0.391757945002302,0.325033939367167,0.3532693468087,0.262091448751914,0.243830546019382,0.14876953947281,0.155317779839484,0.193708612183716,0.174666914876091,0.185062443782554,0.169539177494899,0.179854641303252,0.130434166077062,0.0948807173242288,0.0989906762218071,0.0906153869734596,0.0704894394697559,0.0803678769978308,0.0742641518286118,0.0748423027220456,0.0474242883310368,0.0363980510688995,0.0407100003854729,0.0228189216327202,0.0362426719083137,0.0256375312360607,0.00652367384237825,0.00556976081869202,0.000697470413063635,0.000632931338549014,1.2029963889443e-05,0.055190482313592
"32",0.922874456974507,0.718676692099453,0.527239397429594,0.40508548866822,0.36985390913019,0.362086777660209,0.357487361270174,0.247815950428751,0.16704049119269,0.182077624638774,0.233694522644409,0.196445889486971,0.215014325606448,0.182984379998525,0.184912262003467,0.136623963471277,0.152597956213099,0.122391581794499,0.0911463981641185,0.0778452092903004,0.0817235574265472,0.0874810589578957,0.0820611406495069,0.0559255718526141,0.037710085857232,0.0470136790862054,0.029554627760272,0.0378640267464647,0.0334824629528663,0.00772947678859442,0.00954389280495079,0.000814496868929564,0.00069014166781352,6.69566027156119e-05,0.0588980334480374
"33",0.927298303324102,0.765549442809243,0.532079758705709,0.406944536899391,0.382093373242559,0.377746864697281,0.364421792419805,0.260971979916006,0.270352506561506,0.186016608300219,0.270968033721151,0.312554064742021,0.246685719054896,0.184314532219006,0.185568316749519,0.161185623208265,0.163744099867639,0.15278915134946,0.132720059789428,0.122154499800612,0.0877259046936788,0.0905326064635277,0.0849073554205939,0.0685710205479841,0.0398001059147349,0.0483859106646469,0.0329242437755874,0.0385229231959878,0.0354620720490217,0.0142349156217327,0.0157131552576753,0.00154523859008128,0.000805953654566209,0.000100547844219203,0.0599160761702998
"34",0.941805263105593,0.789645961676123,0.637822995119758,0.457768747296757,0.406207893555912,0.390486512614411,0.48820216692213,0.573785109374956,0.54006133667863,0.338728190320985,0.369973124803051,0.316474757327419,0.341782620549273,0.190339561424735,0.188581948918499,0.207536264027177,0.166798686361356,0.192564580350649,0.137992676872771,0.136162421048628,0.102112770624547,0.0993512718680562,0.0897823033783334,0.0891878240514748,0.0694427420051327,0.0524592384946524,0.0542732224231465,0.0391809957298963,0.0464860407379416,0.014646831637306,0.0158782786717995,0.00186209639468283,0.00111826753322434,0.000201676633527168,0.0605113452787648
