"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"16","Std2","VRM","Svk","Std2","nmodes","Spk","TPIv1","stdv","SBI","Smean","nor","Sk","Smean","Slope","Sdq","Ssk","Sdq","nor","Slope","SCI","Sds","east","SBI","Sdq","Ssc","CuPl","stdv","SCI","rEnt","SCI","Sds","Sds","TPIv1"
"17","Sfd","Sku","Std2","nor","Spk","Sdq","Sdc","rEnt","Svk","SBI","Sk","Srw2","TPIv1","east","Srw3","Srw2","Sfd","Stxr1","SBI","Ssk","Stxr2","TPIv1","Ssk","VRM","Smean","CuTot","Std2","Spk","SBI","CuTot","Stxr1","Ssk","Sdr"
"18","VRM","Ssk","SAR","SAR","stdv","Srw2","SAR","CuPl","Stxr2","Sk","Srw3","Stxr1","Sku","nor","CuTot","CuTot","nor","range","SCI","SAR","east","Sdr","nmodes","range","Stxr2","Srw3","Smean","Slope","Sku","rEnt","CuPl","CuPl","Srw2"
"19","SCI","TPIv1","CuTot","Stxr2","east","Stxr1","Sdr","Spk","Sdc","Sfd","VRM","nor","Spk","Sfd","rEnt","Stxr2","SBI","SCI","CuPro","Smean","CuTot","Sk","Std2","SCI","Sds","stdv","east","Ssc","Srw2","Smean","TPIv1","Stxr2","CuPro"
"20","Srw3","Spk","CuPro","Sk","Sk","MAD","VRM","Slope","range","nmodes","Srw2","Sfd","stdv","Sdr","TPIv1","SBI","Svk","CuPro","Sdq","range","Sdr","Spk","Spk","Ssc","MAD","Std2","CuPro","Sdc","CuPro","east","Srw3","Std2","Spk"
"21","nor","Sdc","Slope","Slope","SBI","SAR","CuPl","Sdq","Sdr","MAD","Sds","Spk","Sk","CuTot","Stxr1","Sk","east","SBI","Sku","Spk","CuPro","Sds","stdv","east","Stxr1","Svk","CuPl","TPIv1","Ssk","Srw3","Sdc","Srw3","Std2"
"22","nmodes","Sds","Sdc","Srw3","MAD","Slope","SCI","range","SCI","SAR","Slope","Stxr2","VRM","Svk","MAD","stdv","SAR","Smean","Sk","Sdq","Sdq","range","Srw3","MAD","Std2","SCI","nor","Std2","CuTot","Srw2","VRM","Sku","east"
"23","SBI","Sdq","nmodes","Sdq","Sfd","Sk","range","Std2","Spk","range","Svk","Sdq","Ssc","Stxr1","CuPro","east","Stxr2","east","TPIv1","nmodes","Smean","nmodes","Srw2","Srw3","Sk","TPIv1","CuTot","east","Sds","CuPro","Sfd","VRM","Sdc"
"24","CuTot","Slope","Srw3","rEnt","TPIv1","Sdc","nor","Smean","Sds","Sdr","Sdq","Sdr","Svk","Spk","SBI","SCI","VRM","CuPl","Ssk","Sdr","Srw2","Svk","MAD","Smean","Sdc","Sfd","Ssc","Ssk","Srw3","Stxr1","Ssk","Stxr1","Sfd"
"25","CuPro","nor","MAD","CuPl","Smean","rEnt","Spk","Sfd","Slope","Sds","Spk","Sds","Slope","Stxr2","nor","Smean","Ssk","Sku","Spk","Stxr1","SAR","CuTot","Sdq","Svk","Srw2","Ssk","TPIv1","CuPl","CuPl","Sku","Ssc","east","Sk"
"26","TPIv1","SAR","stdv","VRM","SAR","stdv","Std2","SCI","Sfd","CuTot","Sdc","CuPl","Stxr1","stdv","Sku","rEnt","Spk","CuTot","nor","CuPro","nmodes","nor","SCI","Sku","nor","nor","Svk","nmodes","nmodes","VRM","CuPro","TPIv1","Sdq"
"27","rEnt","range","Srw2","Ssc","Slope","CuTot","Sdq","CuPro","Sdq","Slope","SBI","stdv","SAR","CuPl","Sk","nor","range","Ssc","east","Sds","TPIv1","rEnt","Smean","Ssk","CuPl","nmodes","Srw2","VRM","Std2","Sds","Srw2","Sdr","nor"
"28","Sku","nmodes","range","CuPro","Sdr","range","Slope","SAR","Smean","Sdc","range","MAD","nmodes","Sk","SCI","Stxr1","rEnt","MAD","Sdr","nor","nor","Stxr1","east","Std2","CuPro","Ssc","nmodes","Sku","Smean","TPIv1","east","Srw2","CuPl"
"29","CuPl","stdv","Sk","Srw2","Stxr2","Std2","Ssc","Sds","CuPro","rEnt","east","SAR","range","Ssk","east","Sdq","CuTot","Slope","nmodes","rEnt","CuPl","Stxr2","Sk","Sk","CuTot","Smean","Sku","Srw2","nor","CuPl","Sku","Ssc","Slope"
"30","Ssk","Svk","nor","MAD","Sdq","CuPro","Smean","VRM","SAR","Stxr1","stdv","range","SBI","CuPro","nmodes","Slope","CuPl","Stxr2","Stxr2","Stxr2","Slope","CuPro","Sku","nmodes","TPIv1","Srw2","Srw3","Svk","east","Std2","rEnt","CuPro","SAR"
"31","Stxr1","east","Sku","Sku","Stxr1","Sfd","Srw2","nor","Srw3","VRM","MAD","Slope","Stxr2","range","Smean","SAR","stdv","Sdq","CuTot","Sfd","Stxr1","Ssk","range","Slope","Srw3","Sku","SCI","stdv","TPIv1","Ssk","Std2","nmodes","stdv"
"32","Stxr2","Sk","TPIv1","range","rEnt","Sku","Sfd","Sdr","Ssk","Sdq","Ssk","Sdc","CuPro","SBI","Stxr2","range","TPIv1","stdv","range","Slope","SCI","CuPl","Slope","nor","east","east","Ssk","nor","Ssc","nmodes","nor","Sfd","range"
"33","east","MAD","Ssc","stdv","SCI","Sdr","Ssk","SBI","Ssc","Stxr2","Stxr2","east","Sdq","Sds","stdv","Ssc","CuPro","Srw3","Stxr1","east","Sfd","Sdc","nor","stdv","nmodes","CuPro","Spk","Srw3","SCI","nor","nmodes","nor","MAD"
