"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"1","range","CuPro","CuPl","TPIv1","Sku","SCI","Stxr1","east","nor","nor","nmodes","Ssk","Srw2","Ssc","Sdc","Sds","Std2","Sds","Srw3","Srw2","Spk","MAD","rEnt","Sdr","SBI","SAR","Sk","Stxr2","stdv","stdv","range","Smean","Ssc"
"2","stdv","CuTot","VRM","Svk","CuPl","Smean","Stxr2","Sku","east","east","TPIv1","TPIv1","CuPl","nmodes","Std2","Sfd","Ssc","Svk","Sdc","VRM","Sk","SAR","CuTot","Sfd","Sdq","Sk","Stxr2","Stxr1","Slope","Slope","Sk","SCI","Ssk"
"3","Slope","rEnt","SBI","Ssk","Sds","Ssc","Sku","Stxr1","nmodes","Srw3","Ssc","Ssc","nor","Sku","Srw2","CuPl","Srw2","Ssk","Srw2","Sku","Sdc","VRM","Sfd","Stxr2","VRM","range","Sdq","MAD","Sdq","Sdq","Spk","range","nmodes"
"4","Sk","Stxr2","Ssk","Spk","CuPro","nmodes","nmodes","nmodes","TPIv1","CuPl","Sfd","Svk","CuTot","Std2","Ssk","Spk","Sdc","Spk","Sds","Srw3","Svk","SBI","Sdr","Stxr1","Slope","MAD","Stxr1","SBI","MAD","MAD","Svk","Sk","Srw3"
"5","SAR","SBI","Sfd","Sfd","Srw3","Srw3","CuTot","Stxr2","CuTot","Spk","SCI","nmodes","rEnt","VRM","VRM","Svk","Sdr","VRM","Sfd","CuPl","SBI","Slope","VRM","CuTot","Svk","Slope","Slope","Sk","Spk","Spk","Smean","Spk","SCI"
"6","Sdq","Stxr1","Sdr","Sdr","Std2","nor","CuPro","Srw2","CuPl","Ssc","Sdr","rEnt","Sds","Sdc","Spk","TPIv1","nmodes","SAR","MAD","Svk","Ssc","SCI","TPIv1","Sds","rEnt","Sdc","MAD","Sdq","Sk","Sdc","SCI","Svk","SBI"
"7","MAD","Srw2","rEnt","nmodes","Srw2","TPIv1","Svk","Srw3","Sku","CuPro","Smean","SBI","Srw3","Srw2","Sds","Sdr","Sds","nmodes","Ssc","Sdc","stdv","Ssc","CuPro","SAR","Spk","Sds","SAR","SAR","Sdc","Svk","stdv","Sdc","Smean"
"8","Sdc","Srw3","SCI","SBI","Ssc","Ssk","Sds","Svk","rEnt","Srw2","CuPro","CuTot","Ssk","rEnt","CuPl","Srw3","Srw3","Srw2","stdv","Sk","Srw3","Smean","CuPl","SBI","range","VRM","Sdr","CuTot","range","SAR","MAD","stdv","Stxr1"
"9","Spk","Std2","Smean","Sdc","VRM","Svk","MAD","TPIv1","VRM","Svk","rEnt","Std2","Sdc","Srw3","Sfd","Sku","MAD","rEnt","rEnt","Std2","VRM","Sdq","Sds","TPIv1","Sdr","Sdr","rEnt","range","Svk","range","Slope","Slope","Svk"
"10","Smean","CuPl","Sds","Stxr1","Svk","VRM","Srw3","MAD","MAD","Sku","CuPl","VRM","east","TPIv1","SAR","CuPro","Sku","Sdc","Svk","stdv","Std2","Srw2","Ssc","Srw2","Sku","Spk","range","Sdr","VRM","SBI","Sdq","Sdq","Stxr2"
"11","Sds","Sdr","Stxr2","Sds","Ssk","east","SBI","Ssc","Stxr1","Std2","Sku","Srw3","Sdr","SAR","Svk","Sdc","Sk","Std2","VRM","MAD","MAD","Srw3","Stxr2","Spk","stdv","rEnt","SBI","Sds","SAR","Sdr","SAR","SAR","rEnt"
"12","Ssc","Sfd","Sdq","SCI","range","CuPl","rEnt","Sk","Sk","TPIv1","CuTot","Sku","MAD","MAD","Ssc","VRM","SCI","Sfd","CuPl","SBI","Sku","Sfd","SAR","rEnt","SCI","SBI","Sds","rEnt","Sdr","Sk","SBI","SBI","Sds"
"13","Svk","SCI","Stxr1","east","nor","Sds","Sk","Ssk","Std2","Ssk","Std2","CuPro","Std2","SCI","Sdr","nmodes","Smean","TPIv1","Std2","Ssc","rEnt","Sku","Stxr1","CuPro","Ssk","Sdq","Sfd","CuPro","Stxr2","Ssc","Sdr","MAD","VRM"
"14","Sdr","Ssc","Spk","CuTot","Sdc","Stxr2","stdv","Sdc","stdv","SCI","SAR","SCI","SCI","Smean","Slope","MAD","Stxr1","Sk","SAR","CuTot","range","stdv","Sdc","CuPl","SAR","Stxr2","VRM","Smean","Stxr1","Sfd","Stxr2","rEnt","Sku"
"15","Srw2","Smean","east","Smean","CuTot","SBI","east","CuTot","Srw2","stdv","Stxr1","Smean","Sfd","Sdq","range","Std2","Slope","Sdr","Smean","TPIv1","Ssk","Std2","Svk","Sdc","Sfd","Stxr1","Sdc","Sfd","Sfd","Stxr2","CuTot","CuTot","CuTot"
