"","PC1_Rval","PC2_Rval","PC3_Rval","PC4_Rval","PC5_Rval","PC6_Rval","PC7_Rval","PC8_Rval","PC9_Rval","PC10_Rval","PC11_Rval","PC12_Rval","PC13_Rval","PC14_Rval","PC15_Rval","PC16_Rval","PC17_Rval","PC18_Rval","PC19_Rval","PC20_Rval","PC21_Rval","PC22_Rval","PC23_Rval","PC24_Rval","PC25_Rval","PC26_Rval","PC27_Rval","PC28_Rval","PC29_Rval","PC30_Rval","PC31_Rval","PC32_Rval"
"1",0.0021665208581617,0.0288834958915848,0.0217508726960387,8.49208125066104e-05,0.00402241281897597,0.000260070584384566,0.00179773036836024,0.00163946150142003,0.00586856100639617,0.00158281769964553,0.0105816142994151,0.000681870502905806,0.00461787101314719,0.000960596312362585,0.00333444924780615,0.00102019387938256,0.0049224282596504,0.000264904373013556,7.62797825743472e-05,0.000621634791934297,0.000201774043662997,0.000274198020514145,0.000348419914069459,0.000317303331748899,0.000208006200516884,0.000145828982510746,0.000125078774983533,1.52442034000222e-05,3.80809619651733e-05,9.26867485977988e-08,5.97915267157579e-09,0.00355501295190441
"2",0.040125305939878,0.0328368905950627,0.0532552191397691,0.00791048646417944,0.0189969053571474,0.00904560716881666,0.00276219384748818,0.00480647200361125,0.0065067204358194,0.0078556724876659,0.0128479277999348,0.00154858815032026,0.0072268988730492,0.0067852355993569,0.00365673847446005,0.00152550422056508,0.0110842841569523,0.00289112287575322,0.00172214105577173,0.00354059696944277,0.000742313728659853,0.00115728890545567,0.000752781213514511,0.000364636022306738,0.000259660501376462,0.000443957245062521,0.000411504173462324,4.69259817006744e-05,4.53934504181924e-05,9.72377275326681e-07,9.11950744010586e-09,0.00709239451653948
"3",0.0837356695009584,0.0388396978006075,0.0725795408526856,0.0251417643924736,0.0196622211709609,0.0101841809839363,0.00280851899196892,0.0135645112001182,0.014623227032359,0.00786072866493324,0.0166964437592644,0.0028197533516603,0.00914194901610154,0.0110230716983949,0.00682368286962689,0.00726311658911426,0.0117824939816531,0.00329601813364833,0.00486157786213194,0.00601030514079367,0.00413015202290624,0.00315695878031133,0.000949161086085682,0.00141609446273981,0.000738086764978503,0.000461607375814948,0.000450860210386498,4.70102903448937e-05,4.82966258527179e-05,1.09733099926105e-06,1.5197888243517e-08,0.00937752361996484
"4",0.0856128927164332,0.0410599345260738,0.0906095244616776,0.0385631796661948,0.0258349820069683,0.0242539803270044,0.00466191225973019,0.0182600475380991,0.0166342624328274,0.0127702299184292,0.018393812580607,0.00540788745876963,0.0121744707515258,0.015657655131958,0.0119730722864222,0.0102831282101118,0.0131889158483025,0.00699158611427076,0.00660518021304422,0.00671881267980812,0.00598422182061943,0.00338101891200095,0.00100693634041048,0.00241600884534278,0.00095997134089269,0.000479290116200356,0.000750368940885352,7.79813178232837e-05,5.67748466103874e-05,1.41936030401216e-06,3.56455807214483e-08,0.00997426152560471
"5",0.108350507604696,0.0466020590295865,0.0921718288257617,0.0427439650323446,0.0341841350770839,0.0272863704150429,0.00728422550516043,0.0182969605408704,0.0188009393583873,0.0146467662521809,0.0196904453644759,0.01099818695256,0.0124097476845691,0.0168170883235891,0.0149323968825853,0.010915721235725,0.0144406150328619,0.0074380168621208,0.0109790070527022,0.00678794019963769,0.00635775945656784,0.00512401950676608,0.00167632079820119,0.00256938136963494,0.00147992323987569,0.000608599240422243,0.00109414011747853,8.19462557498222e-05,8.0193899314724e-05,1.67200180599722e-06,9.68183657266487e-08,0.0156018660150454
"6",0.119266353607715,0.0539077664049947,0.10657302820027,0.0445306802251754,0.0506732629667122,0.0501158929627798,0.0116694307953818,0.0188300251187377,0.0218237011759836,0.0156076716363345,0.0197955476260191,0.0138503746966485,0.0165573829903655,0.0178660723285894,0.0227914618033652,0.0123978320803904,0.017603457619206,0.00763007932805763,0.014045822704644,0.00773205103605331,0.0067907734406581,0.00537295596973226,0.00171526888812777,0.00343790816899898,0.00171448542303562,0.000827460092679457,0.00110628342309589,0.000183003745491185,8.04112023702534e-05,1.94286588696799e-06,1.13035113980092e-07,0.0184638987488294
"7",0.162433220742269,0.0674627016167229,0.119898780475967,0.0633192467568354,0.0584683718926573,0.0549348090713382,0.0155894501347329,0.0206117515696348,0.0272989383964396,0.0201454415431369,0.0295713479040383,0.0169701041026227,0.0176048358534849,0.0183081632742197,0.0259473169639661,0.0141411139691632,0.0203300023721999,0.00844640609951134,0.0162913111657002,0.0167273896531121,0.0075366016075813,0.00718275175504173,0.00339776141623856,0.00450592522507778,0.00185561177538899,0.00112138069785623,0.00123594771678958,0.00018595266166885,9.92793543424961e-05,2.03981664052963e-06,1.58724519374722e-07,0.0198998322923437
"8",0.224902311736726,0.0694820975393361,0.14988942858054,0.069274146026047,0.0625007731541445,0.0585221961054093,0.0157097539765787,0.0210715999869773,0.0284625231843997,0.0208614046184817,0.0359013432237158,0.0172612010895557,0.0207183868579057,0.0214981824792915,0.0280161634013209,0.0158836233090176,0.0204991180604004,0.0104443179034652,0.0170549671240447,0.0169473129221326,0.0077378137376888,0.00805309757636185,0.00443642740950061,0.00460171755494112,0.00204896210015294,0.0011766747420188,0.00130880583019777,0.000187296558127624,0.000111196490487255,2.24119614140745e-06,1.96735094403233e-07,0.025063068220627
"9",0.240521361606946,0.0726422768884659,0.151440011180252,0.0986226294481913,0.0733084835751654,0.0585503613228414,0.0173434082319554,0.0379695792972717,0.0347257955277248,0.0384483082959736,0.0383715568134314,0.0174280013729374,0.0222567274151719,0.0227689044304412,0.0286240558583332,0.01691998243188,0.0210613749199643,0.0143758576695957,0.018427006688096,0.017265058078931,0.0115274038772744,0.0111512193319957,0.00740850036932012,0.00473441960068962,0.00257697321311988,0.00177574636853202,0.00141708079942949,0.000209810410308444,0.000128625945629593,2.601853077481e-06,1.974748363523e-07,0.0269296772377557
"10",0.345107095952686,0.0729203815288423,0.158404959160648,0.103989146990208,0.0779439001059792,0.0614500337713834,0.0176779835262787,0.0400817892294012,0.0368844526972329,0.042487429371697,0.0392813666660764,0.0233631175165424,0.0305398509931181,0.024720154584591,0.029298952558123,0.0190077861813435,0.0227016963094189,0.0145437224535834,0.0203978216770393,0.018551283944219,0.0153934110459045,0.0115789461991787,0.00752385399282714,0.00484272069342551,0.00285263822721304,0.00177930468067789,0.00147115665240154,0.000231403463861672,0.000142400981033924,2.95819116079508e-06,2.12046366716851e-07,0.0288846595140163
