"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"1","range","CuTot","SBI","Svk","CuPl","Ssc","Sku","Stxr1","rEnt","east","rEnt","nor","nmodes","TPIv1","nmodes","Sdc","Std2","Ssc","Svk","Sds","Srw2","Spk","Srw3","Sdr","Sdr","Stxr2","SAR","MAD","stdv","Sdq","range","Smean","Sku"
"2","stdv","Stxr2","Sdr","CuPro","Srw3","Ssk","nmodes","Stxr2","east","CuPl","Srw3","nmodes","Ssk","SBI","Sku","Spk","Sfd","Sdc","Sdc","Srw2","Sds","MAD","Slope","Sfd","Sfd","Stxr1","Sdr","SBI","Slope","Slope","Sk","SCI","CuPl"
"3","Slope","Srw2","Sds","CuPl","Sku","VRM","rEnt","nmodes","nor","TPIv1","nor","rEnt","Srw2","Sds","Ssc","Ssk","Sdr","VRM","Ssk","Srw3","Sfd","Svk","MAD","VRM","CuTot","Sk","Slope","Sk","Sdq","stdv","Spk","range","CuPro"
"4","Sk","Stxr1","Sfd","SBI","CuPro","Sku","east","Srw3","Sku","Sku","Ssc","east","Ssc","Ssc","Sdc","MAD","Srw3","SCI","Sku","SBI","CuTot","Sk","VRM","Slope","TPIv1","Sdq","Sk","Stxr2","MAD","MAD","Svk","Sk","Svk"
"5","SAR","VRM","Stxr2","TPIv1","nor","SCI","TPIv1","CuTot","Srw3","CuTot","CuTot","SBI","SCI","CuTot","Std2","Sfd","Sds","Srw2","Spk","Sfd","TPIv1","Sdc","Srw2","Sdq","Sk","MAD","Sdq","Stxr1","Spk","Spk","Smean","Spk","Stxr1"
"6","MAD","CuPro","SCI","SCI","nmodes","Stxr1","Svk","SBI","MAD","nor","east","Ssk","rEnt","Ssk","VRM","Sds","Ssc","Smean","stdv","SAR","Srw3","VRM","SAR","SBI","VRM","range","Sds","CuTot","Sk","VRM","SCI","Svk","nmodes"
"7","Sdq","Std2","VRM","Smean","Sfd","nmodes","CuPl","Ssk","Sk","rEnt","Ssk","TPIv1","Smean","CuPl","Srw2","VRM","Svk","SBI","MAD","Std2","VRM","Sku","Ssc","Svk","Stxr2","CuTot","Sdc","Sdq","Sdc","Sdc","stdv","Sdc","range"
"8","Sdc","Ssk","Stxr1","Ssk","TPIv1","Sds","nor","Ssc","Sfd","CuPro","Svk","CuPl","east","Svk","TPIv1","Sk","VRM","Srw3","SAR","Sdc","Sk","range","stdv","SAR","range","Slope","Sfd","TPIv1","range","Svk","MAD","stdv","Sdc"
"9","Spk","TPIv1","Smean","Std2","SBI","Stxr2","Srw3","Sds","Svk","Ssk","Spk","Srw3","Svk","VRM","SAR","CuTot","Stxr1","Sk","VRM","MAD","SBI","Slope","Sk","CuTot","Stxr1","TPIv1","range","SAR","Svk","range","Slope","Sdq","Sdq"
"10","Smean","Srw3","CuTot","Spk","SCI","Smean","Ssc","CuPro","Sdr","Srw3","Sfd","Ssc","Sdr","Std2","MAD","Srw2","SAR","MAD","SBI","Ssc","CuPro","stdv","TPIv1","TPIv1","SBI","Std2","VRM","range","SAR","Sk","SAR","Slope","stdv"
"11","Ssc","Spk","Sdq","Srw3","Sdr","TPIv1","MAD","Svk","Srw2","Srw2","TPIv1","Sfd","Sfd","Stxr1","SBI","Svk","nmodes","nmodes","Srw2","stdv","Ssk","Std2","Sdq","Ssc","SAR","Sdc","MAD","Sds","VRM","Sdr","Sdq","SAR","Spk"
"12","Sds","Sdr","SAR","Stxr2","east","Srw3","Stxr1","TPIv1","Spk","Svk","Sdr","CuTot","CuPro","nmodes","Sdq","stdv","CuPro","Sfd","nmodes","Svk","Sku","SCI","Spk","Sds","MAD","VRM","Svk","Smean","SBI","Sds","SBI","Stxr2","Slope"
"13","Srw2","Sfd","TPIv1","Sku","Spk","Spk","Ssk","Srw2","nmodes","Std2","Std2","Sdr","CuPl","SCI","east","TPIv1","CuPl","Sku","Sfd","Slope","Sdc","Srw3","Svk","Ssk","Slope","Sfd","Srw3","CuPro","Sdr","Sfd","CuTot","SBI","Stxr2"
"14","Sdr","SBI","Ssk","Sdr","Smean","Sdc","Stxr2","rEnt","stdv","Sdc","Sku","CuPro","Sku","Smean","rEnt","nor","range","SAR","Sds","Smean","Std2","Ssk","SCI","SCI","Sdc","SBI","SBI","Sdr","CuTot","SAR","Sdr","MAD","rEnt"
"15","Std2","Sdc","east","Sk","Sdc","Sdq","CuPro","VRM","VRM","Sfd","CuPro","SCI","Srw3","Sdc","SCI","CuPro","Spk","Svk","Sk","Ssk","Svk","east","Smean","Sku","Sds","Srw3","Ssk","Sfd","Sku","SBI","Sds","Stxr1","SBI"
"16","Svk","Sku","Std2","VRM","CuTot","Std2","Sk","SCI","Std2","Sdr","Srw2","Smean","SBI","east","Svk","Sdr","Ssk","Sds","CuPl","SCI","SAR","SBI","nmodes","Srw2","Sdq","CuPro","Spk","SCI","Stxr2","Ssc","TPIv1","Sds","MAD"
"17","Sfd","Sds","CuPro","Sds","range","rEnt","CuTot","Sku","Sds","Sds","SCI","Stxr1","CuTot","CuPro","Smean","SCI","east","CuTot","Stxr1","nmodes","Slope","Sdq","Sfd","Smean","SCI","Sdr","nmodes","Ssc","Sfd","Std2","Stxr2","CuTot","SAR"
"18","SCI","Sdq","Slope","Srw2","Srw2","Slope","stdv","Smean","Sdc","MAD","Slope","Sk","Spk","Sku","Spk","Sku","stdv","nor","Slope","Sdq","Stxr1","Ssc","Std2","range","CuPl","Sds","CuTot","Slope","Stxr1","Stxr1","Stxr1","Sdr","Sk"
"19","VRM","Svk","MAD","CuTot","stdv","SAR","Std2","MAD","Sdq","nmodes","Smean","Srw2","SAR","nor","Stxr1","Smean","Stxr2","range","CuTot","CuPro","Smean","SAR","SBI","CuPro","Svk","Spk","CuPro","Sdc","TPIv1","CuPro","VRM","Sku","VRM"
"20","nor","CuPl","nmodes","Sfd","Ssk","Svk","Srw2","Sfd","Ssk","Stxr2","Sdq","VRM","Sk","range","Slope","SAR","Srw2","Sdq","Sdq","CuTot","nor","CuTot","CuTot","Stxr2","Ssc","SAR","nor","stdv","Ssk","nmodes","Ssk","Srw3","Sfd"
"21","Srw3","nmodes","stdv","range","VRM","nor","SCI","Spk","Stxr1","Spk","Stxr1","Std2","range","Sdq","Sk","CuPl","Slope","Ssk","CuPro","TPIv1","SCI","Smean","Sdc","Stxr1","Spk","SCI","stdv","CuPl","Smean","CuPl","CuPl","Ssk","east"
"22","CuPl","Slope","Sk","nmodes","MAD","east","Spk","nor","Smean","stdv","Sk","Sds","nor","rEnt","Srw3","nmodes","Sk","Stxr2","Ssc","CuPl","range","CuPl","Sds","stdv","Srw2","Ssk","SCI","VRM","CuPro","Sku","CuPro","CuPl","Srw3"
"23","nmodes","Smean","Srw2","Sdc","Slope","CuPl","Smean","CuPl","range","Sdq","MAD","Stxr2","stdv","Srw3","CuPl","Slope","Sdq","stdv","east","Sdr","rEnt","Sds","Sku","Srw3","Smean","Sku","TPIv1","Spk","Sds","SCI","Sdc","Ssc","Srw2"
"24","SBI","SCI","range","Stxr1","Svk","CuPro","Slope","stdv","SCI","SBI","CuPl","range","Stxr2","stdv","range","SBI","CuTot","CuPro","Stxr2","Sk","Sdr","Sdr","rEnt","CuPl","CuPro","Svk","Srw2","Srw2","nmodes","east","Sfd","Std2","Ssc"
"25","CuPro","SAR","CuPl","stdv","SAR","Sfd","Sdq","Sdq","Slope","Slope","SAR","Slope","Std2","Stxr2","CuPro","Ssc","MAD","Slope","SCI","rEnt","Spk","TPIv1","east","MAD","Sku","east","Sku","Std2","Srw3","Smean","Srw3","TPIv1","Sds"
"26","TPIv1","Ssc","Spk","nor","rEnt","MAD","Sdc","Slope","SBI","Ssc","SBI","Sku","Sdq","Slope","stdv","Stxr1","Sku","east","range","Stxr1","MAD","Stxr2","Stxr1","Sk","Srw3","nor","Smean","east","Ssc","rEnt","Std2","CuPro","Smean"
"27","Sku","range","Ssc","MAD","Sdq","Sk","SBI","Sk","Stxr2","Stxr1","Sdc","Svk","TPIv1","Srw2","Sfd","Srw3","nor","Stxr1","nor","nor","Stxr2","nmodes","nor","nor","nor","Srw2","CuPl","Srw3","nor","nor","Srw2","east","Std2"
"28","rEnt","stdv","nor","SAR","Sds","Srw2","range","Sdr","SAR","SAR","stdv","MAD","MAD","Sk","Sdr","east","TPIv1","Std2","Srw3","east","CuPl","Sfd","Sdr","east","stdv","CuPl","Stxr1","nmodes","Srw2","Stxr2","Sku","Srw2","Ssk"
"29","Ssk","rEnt","Sku","rEnt","Std2","range","SAR","Sdc","TPIv1","Smean","VRM","Sdq","Slope","Sdr","Stxr2","range","Smean","rEnt","rEnt","Stxr2","east","Stxr1","CuPro","Spk","Ssk","nmodes","Stxr2","nor","SCI","Srw3","east","nmodes","TPIv1"
"30","CuTot","nor","Svk","Slope","Stxr1","SBI","VRM","Std2","Ssc","SCI","nmodes","stdv","Sds","Spk","nor","Stxr2","rEnt","Sdr","TPIv1","range","Sdq","rEnt","CuPl","rEnt","rEnt","Smean","east","Ssk","Std2","CuTot","nmodes","Sfd","SCI"
"31","Stxr1","MAD","Sdc","Sdq","Sk","Sdr","Sds","range","CuPl","VRM","Stxr2","Sdc","VRM","Sfd","Ssk","Std2","SBI","Spk","Std2","Sku","stdv","CuPro","Stxr2","Sdc","east","stdv","Std2","Svk","east","Srw2","rEnt","rEnt","CuTot"
"32","Stxr2","east","rEnt","Ssc","Ssc","CuTot","Sdr","east","CuPro","Sk","Sds","Spk","Stxr1","MAD","CuTot","Sdq","SCI","CuPl","Smean","Spk","Ssc","Srw2","range","Std2","Std2","rEnt","Ssc","Sku","CuPl","TPIv1","Ssc","nor","Sdr"
"33","east","Sk","Srw3","east","Stxr2","stdv","Sfd","SAR","CuTot","range","range","SAR","Sdc","SAR","Sds","rEnt","Sdc","TPIv1","Sdr","VRM","nmodes","nor","Ssk","nmodes","nmodes","Ssc","rEnt","rEnt","rEnt","Ssk","nor","VRM","nor"
