"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"Standard deviation",3.41138189671588,2.30256470615979,1.87947263776739,1.5039947405856,1.33838985856854,1.16412818759125,1.0969448963604,1.08975587762117,0.918294164659687,0.881826003505826,0.807446629286669,0.741798932756783,0.651103600532616,0.559906252136156,0.525451450121554,0.421230125184746,0.396034534021245,0.363616780507151,0.334761169116937,0.281243339528183,0.272550579176894,0.236274979703663,0.193033116973746,0.139969848129786,0.136766615825386,0.118859284689216,0.109821898401043,0.0346641207398575,0.0304506287352177,0.024786909579017,0.0028263452648167,0.00093503926316089,2.61346365161576e-15
"Proportion of Variance",0.35265,0.16066,0.10704,0.06855,0.05428,0.04107,0.03646,0.03599,0.02555,0.02356,0.01976,0.01667,0.01285,0.0095,0.00837,0.00538,0.00475,0.00401,0.0034,0.0024,0.00225,0.00169,0.00113,0.00059,0.00057,0.00043,0.00037,4e-05,3e-05,2e-05,0,0,0
"Cumulative Proportion",0.35265,0.51331,0.62036,0.6889,0.74318,0.78425,0.82071,0.8567,0.88225,0.90582,0.92557,0.94225,0.9551,0.96459,0.97296,0.97834,0.98309,0.9871,0.99049,0.99289,0.99514,0.99683,0.99796,0.99856,0.99912,0.99955,0.99992,0.99995,0.99998,1,1,1,1
