"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"Standard deviation",3.44351687945176,2.17769653491645,1.7436241038667,1.51981800330384,1.28359442986112,1.20328497041834,1.05433385818573,0.954804079054606,0.937819260268535,0.885857720131572,0.847515994204125,0.758533400869102,0.607743478880985,0.534395539192953,0.527543203486261,0.49485029455894,0.46102235707876,0.366323862829593,0.338932324444425,0.304352065345104,0.273919499543865,0.267786163857354,0.18613086373105,0.139045904373895,0.129195575753708,0.121958960821712,0.0811488408314561,0.0355064370239481,0.0240628027564837,0.00345730387259931,0.000861286415510157,1.18877168128175e-15
"Proportion of Variance",0.37056,0.1482,0.09501,0.07218,0.05149,0.04525,0.03474,0.02849,0.02748,0.02452,0.02245,0.01798,0.01154,0.00892,0.0087,0.00765,0.00664,0.00419,0.00359,0.00289,0.00234,0.00224,0.00108,6e-04,0.00052,0.00046,0.00021,4e-05,2e-05,0,0,0
"Cumulative Proportion",0.37056,0.51876,0.61376,0.68595,0.73743,0.78268,0.81742,0.84591,0.87339,0.89791,0.92036,0.93834,0.94988,0.95881,0.96751,0.97516,0.9818,0.98599,0.98958,0.99248,0.99482,0.99706,0.99815,0.99875,0.99927,0.99974,0.99994,0.99998,1,1,1,1
