"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"22","nmodes","Slope","Svk","Sdq","SBI","Sdq","CuTot","Spk","Sdc","SAR","TPIv1","range","CuPro","Smean","rEnt","CuTot","Smean","Sdq","CuTot","Slope","Slope","Srw2","Sku","nor","Std2","TPIv1","east","Srw2","Stxr2","Stxr2","Ssk","Stxr1"
"23","nor","Sdr","Srw2","nmodes","SAR","Sku","Std2","Srw3","SAR","Ssk","Sdc","Slope","CuTot","rEnt","CuTot","CuPro","MAD","range","Sku","Sdq","Sds","Smean","CuPl","TPIv1","Srw3","Sku","Std2","Srw3","Srw3","Std2","CuPro","VRM"
"24","CuPl","Sdq","range","Sk","Smean","Slope","TPIv1","Ssk","Stxr1","SBI","Stxr1","stdv","Slope","SCI","Sk","CuPl","east","SCI","CuPro","nor","east","Slope","Std2","Sku","TPIv1","Ssk","SAR","CuPro","rEnt","Sdc","Std2","Svk"
"25","rEnt","stdv","MAD","CuTot","Sdr","Sdr","CuPl","Sdq","Stxr2","Stxr1","Sk","Stxr1","TPIv1","Slope","CuPro","Svk","Slope","Sdr","SBI","east","Sdr","Sfd","nor","east","nmodes","CuPro","nor","nmodes","Std2","Srw2","Srw3","nmodes"
"26","SBI","Sk","CuTot","CuPl","TPIv1","VRM","Spk","range","nor","Std2","Slope","rEnt","east","Ssk","nor","stdv","CuTot","TPIv1","Sds","range","Smean","SCI","range","CuTot","CuPl","CuTot","CuTot","Stxr2","CuTot","nor","Sds","SCI"
"27","Stxr1","Sdc","Sk","Sku","SCI","range","Sdc","stdv","Spk","VRM","range","Sds","Srw3","TPIv1","Spk","Stxr2","nmodes","Srw3","Ssk","Svk","Srw3","Sds","nmodes","stdv","SAR","range","Stxr2","SCI","Ssk","east","SAR","range"
"28","Sku","Svk","Stxr2","CuPro","Spk","Srw2","range","Sdr","range","Slope","Sdq","Std2","Sku","Sfd","SCI","VRM","nor","Std2","Smean","Ssk","nor","Svk","Srw2","Ssk","east","Sdq","CuPro","Sds","TPIv1","Sdr","nor","Spk"
"29","Ssk","Spk","CuPro","stdv","CuTot","Srw3","Slope","Slope","MAD","Stxr2","SAR","nmodes","Srw2","MAD","Smean","range","Sk","nmodes","SCI","CuPl","Std2","nor","Srw3","nmodes","SCI","Std2","Srw3","nor","Srw2","nmodes","Srw2","Ssk"
"30","TPIv1","nmodes","TPIv1","range","Sds","Sds","nmodes","VRM","Sk","range","Srw2","Stxr2","range","Sdr","Stxr1","Sdq","Stxr2","Smean","nor","Sfd","Sdq","Sdr","Sfd","Srw3","Sku","nor","Stxr1","east","nmodes","Sku","nmodes","Smean"
"31","east","Sfd","Stxr1","MAD","Slope","CuPl","Stxr2","MAD","stdv","rEnt","Sku","SAR","Sdq","stdv","Srw3","Sdc","SAR","Slope","Sdc","SAR","Sfd","nmodes","TPIv1","CuPro","Sds","CuPl","nmodes","Stxr1","nor","Sfd","Sku","Slope"
"32","Stxr2","range","nor","Srw2","Sdq","Std2","Sdq","Sfd","CuTot","Sdq","Svk","MAD","Svk","SBI","CuPl","Slope","stdv","rEnt","Sdr","Sdr","Srw2","east","east","Svk","Srw2","Sdc","CuPl","Std2","range","Sds","east","Sdq"
