"file","func","value"
"ORNL_2018_DEM_mosaic_20250925.tif","sa",18.1201715470203
"ORNL_2018_DEM_mosaic_20250925.tif","sq",22.4329708635574
"ORNL_2018_DEM_mosaic_20250925.tif","s10z",357.054205322266
"ORNL_2018_DEM_mosaic_20250925.tif","sdq",0.342245374559156
"ORNL_2018_DEM_mosaic_20250925.tif","sdq6",239689.648126141
"ORNL_2018_DEM_mosaic_20250925.tif","sdr",0.000403154020407136
"ORNL_2018_DEM_mosaic_20250925.tif","sbi",0.0693587301395509
"ORNL_2018_DEM_mosaic_20250925.tif","sci",-138.044733846088
"ORNL_2018_DEM_mosaic_20250925.tif","ssk",0.482174560990794
"ORNL_2018_DEM_mosaic_20250925.tif","sku",-0.136437949087305
"ORNL_2018_DEM_mosaic_20250925.tif","sds",0.00801376175831788
"ORNL_2018_DEM_mosaic_20250925.tif","sfd",2.00000032751497
"ORNL_2018_DEM_mosaic_20250925.tif","srw",c(10.1010101010101, 0.0522841779655015, 70.7070707070707)
"ORNL_2018_DEM_mosaic_20250925.tif","std",c(0, 0.0350735966161815)
"ORNL_2018_DEM_mosaic_20250925.tif","svi",-45.5943384247493
"ORNL_2018_DEM_mosaic_20250925.tif","stxr",c(0.727363640713036, 0.555407357139538)
"ORNL_2018_DEM_mosaic_20250925.tif","ssc",-0.000921612054119461
"ORNL_2018_DEM_mosaic_20250925.tif","sv",237.363006591797
"ORNL_2018_DEM_mosaic_20250925.tif","sph",357.889007568359
"ORNL_2018_DEM_mosaic_20250925.tif","sk",56.1983217422555
"ORNL_2018_DEM_mosaic_20250925.tif","smean",282.404983176166
"ORNL_2018_DEM_mosaic_20250925.tif","spk",50.0048638364639
"ORNL_2018_DEM_mosaic_20250925.tif","svk",14.3239271188546
"ORNL_2018_DEM_mosaic_20250925.tif","scl",c(1028.13330078125, 785.071960449219, 1413.50659179688, 1413.50659179688)
"ORNL_2018_DEM_mosaic_20250925.tif","sdc",34.4550170898438
