"","file","func","value","site","tile","res","type"
"31791","OSBS_2023_DEM_mosaic_2025-11-23_9_100m.tif","range",21.3806629180908,"OSBS",9,100,"pitted"
"31792","OSBS_2023_DEM_mosaic_2025-11-23_9_10m.tif","stdv",6.62155517028615,"OSBS",9,10,"pitted"
"31793","OSBS_2023_DEM_mosaic_2025-11-23_9_10m.tif","MAD",0.759290686798096,"OSBS",9,10,"pitted"
"31794","OSBS_2023_DEM_mosaic_2025-11-23_9_10m.tif","nmodes",4.5,"OSBS",9,10,"pitted"
"31795","OSBS_2023_DEM_mosaic_2025-11-23_9_10m.tif","range",23.821590423584,"OSBS",9,10,"pitted"
"31796","OSBS_2023_DEM_mosaic_2025-11-23_9_15m.tif","stdv",6.61822174323828,"OSBS",9,15,"pitted"
"31797","OSBS_2023_DEM_mosaic_2025-11-23_9_15m.tif","MAD",0.758959830093384,"OSBS",9,15,"pitted"
"31798","OSBS_2023_DEM_mosaic_2025-11-23_9_15m.tif","nmodes",3,"OSBS",9,15,"pitted"
"31799","OSBS_2023_DEM_mosaic_2025-11-23_9_15m.tif","range",23.4659996032715,"OSBS",9,15,"pitted"
"31800","OSBS_2023_DEM_mosaic_2025-11-23_9_1m.tif","stdv",6.62276865403286,"OSBS",9,1,"pitted"
"31801","OSBS_2023_DEM_mosaic_2025-11-23_9_1m.tif","MAD",0.88214598197937,"OSBS",9,1,"pitted"
"31802","OSBS_2023_DEM_mosaic_2025-11-23_9_1m.tif","nmodes",6.5,"OSBS",9,1,"pitted"
"31803","OSBS_2023_DEM_mosaic_2025-11-23_9_1m.tif","range",24.4420013427734,"OSBS",9,1,"pitted"
"31804","OSBS_2023_DEM_mosaic_2025-11-23_9_30m.tif","stdv",6.61412996716822,"OSBS",9,30,"pitted"
"31805","OSBS_2023_DEM_mosaic_2025-11-23_9_30m.tif","MAD",0.787515308761597,"OSBS",9,30,"pitted"
"31806","OSBS_2023_DEM_mosaic_2025-11-23_9_30m.tif","nmodes",3,"OSBS",9,30,"pitted"
"31807","OSBS_2023_DEM_mosaic_2025-11-23_9_30m.tif","range",23.1486568450928,"OSBS",9,30,"pitted"
"31808","OSBS_2023_DEM_mosaic_2025-11-23_9_50m.tif","stdv",6.60710002735536,"OSBS",9,50,"pitted"
"31809","OSBS_2023_DEM_mosaic_2025-11-23_9_50m.tif","MAD",0.784499422645569,"OSBS",9,50,"pitted"
"31810","OSBS_2023_DEM_mosaic_2025-11-23_9_50m.tif","nmodes",3,"OSBS",9,50,"pitted"
"31811","OSBS_2023_DEM_mosaic_2025-11-23_9_50m.tif","range",22.550329208374,"OSBS",9,50,"pitted"
"31812","OSBS_2023_DEM_mosaic_2025-11-23_9_5m.tif","stdv",6.62219634049942,"OSBS",9,5,"pitted"
"31813","OSBS_2023_DEM_mosaic_2025-11-23_9_5m.tif","MAD",0.788981541252136,"OSBS",9,5,"pitted"
"31814","OSBS_2023_DEM_mosaic_2025-11-23_9_5m.tif","nmodes",5.5,"OSBS",9,5,"pitted"
"31815","OSBS_2023_DEM_mosaic_2025-11-23_9_5m.tif","range",24.0468406677246,"OSBS",9,5,"pitted"
"31816","TEAK_2023_DEM_mosaic_2025-11-23_1_100m.tif","stdv",46.7966336652211,"TEAK",1,100,"high-relief"
"31817","TEAK_2023_DEM_mosaic_2025-11-23_1_100m.tif","MAD",47.6694268066406,"TEAK",1,100,"high-relief"
"31818","TEAK_2023_DEM_mosaic_2025-11-23_1_100m.tif","nmodes",1,"TEAK",1,100,"high-relief"
"31819","TEAK_2023_DEM_mosaic_2025-11-23_1_100m.tif","range",257.0732421875,"TEAK",1,100,"high-relief"
"31820","TEAK_2023_DEM_mosaic_2025-11-23_1_10m.tif","stdv",47.1233913560462,"TEAK",1,10,"high-relief"
"31821","TEAK_2023_DEM_mosaic_2025-11-23_1_10m.tif","MAD",47.5391201660156,"TEAK",1,10,"high-relief"
"31822","TEAK_2023_DEM_mosaic_2025-11-23_1_10m.tif","nmodes",4,"TEAK",1,10,"high-relief"
"31823","TEAK_2023_DEM_mosaic_2025-11-23_1_10m.tif","range",273.2529296875,"TEAK",1,10,"high-relief"
"31824","TEAK_2023_DEM_mosaic_2025-11-23_1_15m.tif","stdv",47.3142982536243,"TEAK",1,15,"high-relief"
"31825","TEAK_2023_DEM_mosaic_2025-11-23_1_15m.tif","MAD",47.7928561523437,"TEAK",1,15,"high-relief"
"31826","TEAK_2023_DEM_mosaic_2025-11-23_1_15m.tif","nmodes",2,"TEAK",1,15,"high-relief"
"31827","TEAK_2023_DEM_mosaic_2025-11-23_1_15m.tif","range",272.5947265625,"TEAK",1,15,"high-relief"
"31828","TEAK_2023_DEM_mosaic_2025-11-23_1_1m.tif","stdv",47.1280649879439,"TEAK",1,1,"high-relief"
"31829","TEAK_2023_DEM_mosaic_2025-11-23_1_1m.tif","MAD",47.5572183105469,"TEAK",1,1,"high-relief"
"31830","TEAK_2023_DEM_mosaic_2025-11-23_1_1m.tif","nmodes",7,"TEAK",1,1,"high-relief"
"31831","TEAK_2023_DEM_mosaic_2025-11-23_1_1m.tif","range",273.954833984375,"TEAK",1,1,"high-relief"
"31832","TEAK_2023_DEM_mosaic_2025-11-23_1_30m.tif","stdv",47.2840090443426,"TEAK",1,30,"high-relief"
"31833","TEAK_2023_DEM_mosaic_2025-11-23_1_30m.tif","MAD",47.6411937011719,"TEAK",1,30,"high-relief"
"31834","TEAK_2023_DEM_mosaic_2025-11-23_1_30m.tif","nmodes",2,"TEAK",1,30,"high-relief"
"31835","TEAK_2023_DEM_mosaic_2025-11-23_1_30m.tif","range",270.758544921875,"TEAK",1,30,"high-relief"
"31836","TEAK_2023_DEM_mosaic_2025-11-23_1_50m.tif","stdv",47.0350197433536,"TEAK",1,50,"high-relief"
"31837","TEAK_2023_DEM_mosaic_2025-11-23_1_50m.tif","MAD",47.3185037841797,"TEAK",1,50,"high-relief"
"31838","TEAK_2023_DEM_mosaic_2025-11-23_1_50m.tif","nmodes",2,"TEAK",1,50,"high-relief"
"31839","TEAK_2023_DEM_mosaic_2025-11-23_1_50m.tif","range",266.422119140625,"TEAK",1,50,"high-relief"
"31840","TEAK_2023_DEM_mosaic_2025-11-23_1_5m.tif","stdv",47.1267297584661,"TEAK",1,5,"high-relief"
"31841","TEAK_2023_DEM_mosaic_2025-11-23_1_5m.tif","MAD",47.5474453125,"TEAK",1,5,"high-relief"
"31842","TEAK_2023_DEM_mosaic_2025-11-23_1_5m.tif","nmodes",6,"TEAK",1,5,"high-relief"
"31843","TEAK_2023_DEM_mosaic_2025-11-23_1_5m.tif","range",273.5703125,"TEAK",1,5,"high-relief"
"31844","TEAK_2023_DEM_mosaic_2025-11-23_2_100m.tif","stdv",71.8752295138594,"TEAK",2,100,"high-relief"
"31845","TEAK_2023_DEM_mosaic_2025-11-23_2_100m.tif","MAD",53.9628755859375,"TEAK",2,100,"high-relief"
"31846","TEAK_2023_DEM_mosaic_2025-11-23_2_100m.tif","nmodes",1,"TEAK",2,100,"high-relief"
