,Sa,Sq,s10z,Sdq,Sdq6,Sdr,SBI,SCI,Ssk,Sku,Sds,Sfd,Srw2,Srw3,Std1,Std2,Svi,Stxr1,Stxr2,Ssc,Sv,Sph,Sk,Smean,Spk,Svk,Scl1,Sdc,TPIv1,TRIv1,VRM,SAR,rEnt,Slope,nor,east,TPIv2,TRIv2,TRIriley,TRIrmsd,rough,stdv,MAD,nmodes,range,CuPro,CuPl,CuTot
Sph,0.63,0.65,1.00,0.52,1.00,-0.35,-0.31,-0.97,-0.11,-0.04,-0.56,-0.40,-0.34,-0.32,0.15,-0.36,-0.99,0.09,0.21,0.59,0.99,1.00,0.66,1.00,0.49,0.53,0.09,0.59,0.04,0.58,0.35,-0.59,0.21,0.59,-0.41,0.05,0.04,0.58,0.58,0.58,0.58,0.65,0.58,0.01,0.70,0.10,-0.03,0.22
Sk,0.96,0.96,0.66,0.80,0.61,-0.39,0.23,-0.49,-0.08,-0.18,-0.60,-0.42,-0.43,-0.44,0.02,-0.49,-0.55,-0.06,-0.01,0.65,0.56,0.66,1.00,0.61,0.60,0.62,-0.06,0.72,0.25,0.87,0.39,-0.89,0.22,0.88,-0.28,0.06,0.25,0.87,0.87,0.87,0.87,0.96,0.97,-0.14,0.95,0.15,-0.04,0.33
Smean,0.57,0.59,1.00,0.46,1.00,-0.33,-0.37,-0.99,-0.13,-0.03,-0.53,-0.38,-0.32,-0.30,0.15,-0.33,-1.00,0.10,0.21,0.56,1.00,1.00,0.61,1.00,0.42,0.52,0.10,0.53,0.04,0.52,0.33,-0.53,0.19,0.54,-0.41,0.05,0.04,0.52,0.52,0.52,0.53,0.59,0.52,0.03,0.65,0.10,-0.03,0.20
Spk,0.74,0.75,0.48,0.65,0.42,-0.32,0.32,-0.32,0.37,0.06,-0.44,-0.36,-0.26,-0.30,0.05,-0.34,-0.39,0.10,0.09,0.57,0.40,0.49,0.60,0.42,1.00,0.10,0.10,0.87,-0.26,0.67,0.40,-0.66,0.20,0.67,-0.27,-0.03,-0.26,0.67,0.67,0.67,0.67,0.75,0.65,-0.14,0.76,-0.02,0.07,0.22
Svk,0.57,0.59,0.53,0.52,0.52,-0.26,-0.03,-0.45,-0.46,0.20,-0.42,-0.29,-0.22,-0.23,0.15,-0.31,-0.45,-0.11,-0.03,0.45,0.47,0.53,0.62,0.52,0.10,1.00,-0.11,0.32,0.47,0.58,0.28,-0.57,0.13,0.59,-0.23,-0.02,0.47,0.58,0.58,0.58,0.58,0.59,0.54,-0.23,0.65,0.14,-0.04,0.30
Scl1,-0.02,-0.02,0.09,0.03,0.10,0.06,-0.29,-0.11,0.11,0.09,-0.04,0.05,0.14,-0.02,0.07,0.14,-0.11,1.00,0.94,0.02,0.11,0.09,-0.06,0.10,0.10,-0.11,1.00,0.03,-0.17,-0.01,0.11,0.02,-0.07,-0.02,0.00,0.07,-0.17,-0.01,-0.01,-0.01,-0.01,-0.02,-0.04,-0.01,-0.02,0.09,-0.11,-0.14
Sdc,0.76,0.77,0.58,0.67,0.53,-0.37,0.24,-0.43,0.21,0.05,-0.50,-0.40,-0.33,-0.37,0.13,-0.38,-0.49,0.03,0.06,0.64,0.50,0.59,0.72,0.53,0.87,0.32,0.03,1.00,-0.15,0.71,0.40,-0.68,0.21,0.72,-0.27,0.11,-0.15,0.71,0.71,0.71,0.72,0.77,0.72,-0.19,0.83,-0.02,0.09,0.30
TPIv1,0.14,0.15,0.04,0.16,0.04,-0.04,0.00,-0.01,-0.29,-0.09,-0.12,-0.04,-0.12,-0.07,-0.06,-0.11,0.00,-0.17,-0.13,0.06,0.01,0.04,0.25,0.04,-0.26,0.47,-0.17,-0.15,1.00,0.19,0.06,-0.21,0.04,0.19,-0.12,-0.08,1.00,0.19,0.19,0.19,0.19,0.15,0.18,-0.09,0.15,0.18,-0.12,0.13
TRIv1,0.88,0.89,0.58,0.98,0.52,-0.22,0.21,-0.40,0.07,-0.04,-0.57,-0.23,-0.35,-0.43,0.01,-0.31,-0.46,-0.01,0.03,0.57,0.47,0.58,0.87,0.52,0.67,0.58,-0.01,0.71,0.19,1.00,0.65,-0.98,0.11,0.99,-0.32,-0.11,0.19,1.00,1.00,1.00,1.00,0.89,0.84,-0.22,0.90,0.24,-0.16,0.17
VRM,0.42,0.43,0.35,0.75,0.33,0.40,-0.10,-0.27,0.20,0.07,-0.11,0.40,0.26,0.11,-0.01,0.36,-0.30,0.11,0.17,-0.01,0.30,0.35,0.39,0.33,0.40,0.28,0.11,0.40,0.06,0.65,1.00,-0.58,-0.29,0.59,-0.21,-0.14,0.06,0.64,0.65,0.65,0.63,0.43,0.37,0.04,0.45,0.38,-0.42,-0.43
SAR,-0.90,-0.91,-0.59,-0.95,-0.53,0.25,-0.24,0.41,-0.03,0.07,0.59,0.26,0.38,0.44,0.00,0.35,0.47,0.02,-0.02,-0.58,-0.48,-0.59,-0.89,-0.53,-0.66,-0.57,0.02,-0.68,-0.21,-0.98,-0.58,1.00,-0.13,-0.98,0.35,0.09,-0.21,-0.98,-0.98,-0.98,-0.98,-0.91,-0.86,0.21,-0.90,-0.26,0.16,-0.18
rEnt,0.23,0.23,0.21,0.01,0.19,-0.47,0.21,-0.17,-0.03,-0.06,-0.18,-0.59,-0.41,-0.23,0.12,-0.45,-0.18,-0.07,-0.11,0.36,0.19,0.21,0.22,0.19,0.20,0.13,-0.07,0.21,0.04,0.11,-0.29,-0.13,1.00,0.15,-0.01,0.04,0.04,0.12,0.11,0.11,0.13,0.23,0.21,-0.20,0.23,-0.31,0.39,0.54
Slope,0.89,0.90,0.59,0.96,0.54,-0.29,0.23,-0.41,0.04,-0.05,-0.64,-0.29,-0.42,-0.49,0.02,-0.38,-0.47,-0.02,0.02,0.64,0.48,0.59,0.88,0.54,0.67,0.59,-0.02,0.72,0.19,0.99,0.59,-0.98,0.15,1.00,-0.33,-0.10,0.19,1.00,0.99,0.99,1.00,0.90,0.85,-0.24,0.91,0.23,-0.13,0.24
