"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34"
"24","CuTot","VRM","CuTot","Sk","Ssc","Slope","Ssc","Sv","SCI","Stxr2","SCI","Sdc","Smean","Stxr2","Spk","range","CuPl","Sv","SCI","Std2","Srw3","Sds","range","CuTot","Sdr","Srw3","SCI","SBI","Sdc","nor","Sku","Sku","CuTot","CuPl"
"25","CuPro","Sdq","range","Std2","stdv","CuTot","nor","Srw3","Sv","range","Sv","Sds","east","Stxr1","Sdq","Sdq","SAR","Stxr2","rEnt","range","Sdq","VRM","Sds","CuPl","CuPro","Sds","Std2","CuPro","CuPl","nmodes","Ssk","SBI","CuPl","Sv"
"26","rEnt","east","Sk","CuPro","Sk","Sfd","CuPl","Smean","Smean","Sdc","stdv","range","Ssc","nor","range","Stxr2","Slope","CuTot","Sv","Stxr1","Std2","Sv","Std2","TPIv1","Sku","CuPl","nor","TPIv1","nmodes","Sds","Sds","CuTot","Srw3","CuPro"
"27","SBI","nmodes","nmodes","Sdq","Sdr","Sdr","Slope","SCI","Sdq","Slope","CuTot","Sdq","Stxr2","SCI","Slope","CuPro","east","Smean","SAR","rEnt","stdv","Smean","Sfd","Ssk","Srw3","Sfd","Srw2","Std2","Srw2","rEnt","east","Std2","CuPro","Sku"
"28","Sku","MAD","Svk","rEnt","MAD","Ssc","stdv","TPIv1","Sdr","Svk","Stxr2","Stxr2","Sds","CuPro","Smean","SCI","MAD","Slope","Smean","CuTot","Sdr","SCI","Srw3","VRM","Ssk","nmodes","Sfd","rEnt","TPIv1","Srw2","TPIv1","east","rEnt","east"
"29","Ssk","Slope","Srw3","Srw2","SAR","Std2","Spk","Std2","TPIv1","Stxr1","Sk","rEnt","range","Sv","Sk","CuTot","Ssk","nmodes","nmodes","nor","Sfd","range","Srw2","SCI","nmodes","nor","stdv","nmodes","Ssc","CuTot","nmodes","Sds","east","Stxr1"
"30","CuPl","range","CuPro","stdv","Sfd","Sdc","VRM","Sdq","range","Sku","Spk","Slope","TPIv1","Sk","stdv","Smean","range","rEnt","range","SCI","Ssk","east","nor","Sv","east","range","CuPl","Sds","Sku","Srw3","Stxr2","Srw2","nmodes","SCI"
"31","TPIv1","SAR","TPIv1","VRM","Sdq","Sds","Sdq","Slope","Spk","Sdq","Stxr1","SAR","Sdq","MAD","SCI","Spk","Sdq","Srw2","east","Spk","Stxr1","nmodes","Sku","stdv","TPIv1","TPIv1","Sds","nor","VRM","Stxr1","Sdr","nor","Sds","CuTot"
"32","Stxr2","Svk","Sku","range","SBI","VRM","Sk","range","Slope","CuPro","Sdc","stdv","Svk","Smean","Sv","Sv","Ssc","Sds","stdv","Sdr","Srw2","Sku","nmodes","nmodes","Smean","Ssc","TPIv1","CuTot","east","Smean","nor","nmodes","nor","Stxr2"
"33","Stxr1","stdv","Srw2","CuPl","nor","nmodes","range","Spk","SAR","SAR","MAD","Stxr1","Slope","CuTot","rEnt","Sk","Sku","range","Std2","Sfd","nor","nor","east","Smean","Sfd","Std2","nmodes","Sfd","Ssk","Stxr2","Std2","CuPro","Srw2","Ssk"
"34","east","Sk","nor","MAD","Slope","CuPro","MAD","Sdc","Ssc","TPIv1","SBI","Ssc","Sku","Ssc","Stxr1","nor","nmodes","SCI","nor","east","Stxr2","Sdq","Ssc","range","CuTot","Sdc","Sv","east","Sv","TPIv1","Stxr1","Ssk","Std2","TPIv1"
