"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34"
"1","range","rEnt","CuPl","TPIv1","nmodes","SCI","Stxr1","Sku","nmodes","nor","TPIv1","TPIv1","Ssk","Sdc","Sds","Std2","Srw3","Svk","Sk","Sdc","MAD","Ssc","rEnt","Stxr2","SAR","SBI","Sdq","stdv","Sfd","Slope","Sv","range","Smean","Ssc"
"2","stdv","CuPro","Sfd","Ssk","Sku","nor","Stxr2","east","nor","east","east","Srw2","CuPl","VRM","Std2","Sdc","Srw2","Spk","Ssc","CuPl","VRM","Stxr2","CuTot","Ssc","Sk","MAD","Slope","MAD","Sdr","Sdq","SCI","Sv","SCI","stdv"
"3","Slope","CuTot","Sdr","Spk","CuPl","Svk","east","Svk","east","Srw3","Ssk","nmodes","nmodes","Srw2","Ssc","Sdr","Sdc","Ssk","Stxr2","MAD","Spk","rEnt","SAR","Stxr1","Slope","VRM","Sk","Sdq","Sdq","stdv","range","Sk","Sv","range"
"4","Sk","SBI","VRM","Svk","Srw3","Sv","CuTot","MAD","rEnt","Std2","nor","Ssk","Sdr","Spk","Srw2","Sfd","SBI","Sku","SBI","VRM","SAR","Stxr1","VRM","rEnt","range","Sk","VRM","Spk","Slope","Sdr","Sk","SCI","range","MAD"
"5","Sdq","Stxr2","Ssk","Sdc","CuPro","TPIv1","CuPro","nmodes","Std2","nmodes","nmodes","Srw3","Sfd","Ssk","nmodes","Srw2","Sds","SAR","Srw3","Srw2","Svk","SBI","CuPro","Sds","MAD","Spk","MAD","Slope","stdv","Sfd","Spk","Spk","Sdc","Sk"
"6","SAR","Srw3","Ssc","SBI","Srw2","Smean","Srw3","Stxr1","CuTot","Srw2","CuPl","east","VRM","Std2","Sfd","Svk","Stxr1","CuPl","MAD","Srw3","SBI","Sfd","SBI","Sdr","Sdq","Stxr2","range","Sk","MAD","MAD","Svk","Svk","Slope","Slope"
"7","MAD","Stxr1","SBI","Stxr1","SCI","east","Srw2","Sds","Ssk","Ssk","Sku","CuTot","nor","TPIv1","Sdr","Sds","Std2","TPIv1","Stxr1","Ssc","CuPl","SAR","Sk","SBI","Sdc","Slope","Svk","Sdc","SBI","Sk","stdv","Smean","Sdq","Spk"
"8","Sdc","Srw2","Std2","SCI","Sv","Ssk","nmodes","Sk","Srw3","SCI","Srw2","nor","MAD","Sds","TPIv1","SAR","Spk","Srw3","Svk","stdv","CuTot","Sdr","Stxr1","Sfd","SBI","rEnt","Spk","range","Stxr2","Spk","Smean","Slope","Sk","SAR"
"9","Smean","Ssc","Sdq","Sfd","Smean","Srw2","Sku","Ssk","CuPro","Spk","Sdr","Std2","rEnt","nmodes","Svk","Ssc","VRM","Sdc","Srw2","Sku","Sdc","Svk","MAD","SAR","Stxr2","stdv","Sdc","Svk","Spk","VRM","MAD","Sdq","Spk","SBI"
"10","VRM","SCI","SCI","east","VRM","Srw3","rEnt","Srw2","VRM","Sv","Sfd","Sku","Sk","SAR","Sku","Srw3","rEnt","east","Sds","Sds","TPIv1","Srw3","Spk","Sk","Stxr1","SAR","SBI","SAR","Sk","Sdc","Slope","MAD","stdv","Sdq"
"11","Spk","Sv","Sds","Sdr","CuTot","Sku","Ssk","Stxr2","Stxr1","Smean","rEnt","CuPro","Srw2","Sdq","SAR","CuPl","Stxr2","Ssc","CuTot","nmodes","Sku","Sk","Stxr2","Sdq","Svk","Svk","SAR","VRM","Stxr1","SBI","SAR","Sdc","MAD","Sdr"
"12","Sds","Std2","rEnt","Ssc","Stxr2","CuPl","Sdc","Ssc","Sku","CuPl","Ssc","Svk","Srw3","Slope","east","Sku","Sdr","Std2","CuPl","TPIv1","range","Spk","Sdc","Sku","Spk","Stxr1","Stxr2","Sv","Svk","Svk","Sdq","stdv","Svk","Sfd"
"13","Sv","Smean","east","Stxr2","Sds","Stxr2","Std2","stdv","Srw2","Sfd","Srw3","SBI","Sdc","range","MAD","nmodes","stdv","Sfd","Spk","Sk","Sds","Std2","CuPl","Spk","CuPl","Sdq","Sku","Smean","Srw3","Sku","SBI","Sfd","SAR","Sds"
"14","Sfd","CuPl","SAR","Smean","Std2","Stxr1","SCI","SBI","MAD","Sds","Svk","Spk","stdv","rEnt","Srw3","rEnt","CuPro","MAD","Sku","Sdq","Slope","CuPl","TPIv1","Std2","SCI","SCI","Ssc","SCI","rEnt","Ssc","Sdc","VRM","Ssc","Std2"
"15","Svk","Sds","Slope","Sv","Stxr1","rEnt","Sv","CuPro","Svk","Sdr","CuPro","VRM","SCI","Sdr","CuTot","east","CuTot","Sdr","Ssk","CuPro","rEnt","Sdc","Sdr","Svk","nor","CuTot","Stxr1","Stxr1","Sds","SCI","VRM","Sdr","SBI","Srw3"
"16","Sdr","Sdr","Sv","nor","east","MAD","SAR","nor","Sk","stdv","VRM","Sv","Std2","east","CuPro","VRM","Sfd","VRM","TPIv1","Ssk","SCI","CuTot","Ssk","Slope","rEnt","CuPro","Sdr","Sdr","Std2","east","CuPl","SAR","Sfd","Sdc"
"17","Ssc","Sku","Spk","Srw3","Sdc","Sk","Smean","CuTot","Stxr2","SBI","Slope","SCI","Stxr1","Sfd","VRM","Stxr1","Sk","SBI","CuPro","Slope","Ssc","stdv","Sdq","Srw3","Ssc","Smean","Srw3","Stxr2","SCI","SAR","CuTot","Ssc","Sdr","Srw2"
"18","Std2","Sfd","Smean","Sds","Svk","stdv","SBI","rEnt","Sds","VRM","SAR","Smean","SBI","Sku","Ssk","Ssk","Sv","Sk","Sdq","Stxr2","nmodes","MAD","SCI","Srw2","stdv","Sv","Smean","CuPl","range","CuPl","rEnt","TPIv1","Sku","Svk"
"19","SCI","TPIv1","Stxr2","SAR","TPIv1","range","TPIv1","Sdr","SBI","MAD","Sdq","Sfd","CuPro","Srw3","nor","Slope","Smean","nor","VRM","SAR","Sk","Srw2","Slope","Sdc","Sds","Sku","CuTot","Ssk","CuTot","Sv","Srw3","Srw3","Stxr1","nor"
"20","Srw2","Ssk","Stxr1","Sku","range","Spk","Svk","CuPl","CuPl","CuTot","Std2","Sdr","Spk","SBI","Sdc","SBI","Svk","CuPro","Sdr","SBI","Sv","Ssk","Sv","MAD","Std2","Srw2","CuPro","Sku","SAR","Std2","Srw2","CuPl","VRM","VRM"
"21","Srw3","nor","stdv","nmodes","Spk","SAR","Sfd","SAR","stdv","Sk","range","CuPl","Sv","Svk","Stxr2","stdv","TPIv1","Sdq","Slope","Svk","CuPro","TPIv1","stdv","nor","Srw2","Ssk","Ssk","Srw2","CuPro","CuPro","Sfd","Stxr2","Ssk","rEnt"
"22","nmodes","Sdc","MAD","CuTot","Ssk","SBI","Sds","Sfd","Sdc","Ssc","Smean","Sk","SAR","CuPl","CuPl","MAD","SCI","Stxr1","Sdc","Sv","east","Slope","Smean","CuPro","VRM","Sdr","east","Srw3","Smean","Ssk","CuPro","rEnt","TPIv1","Smean"
"23","nor","Spk","Sdc","Slope","rEnt","Sdq","Sdr","VRM","Sfd","rEnt","Sds","MAD","CuTot","stdv","SBI","TPIv1","nor","stdv","Sfd","Smean","Smean","CuPro","Svk","east","Sv","east","rEnt","Ssc","nor","range","Ssc","Stxr1","Stxr2","nmodes"
