"","PC1_Rval","PC2_Rval","PC3_Rval","PC4_Rval","PC5_Rval","PC6_Rval","PC7_Rval","PC8_Rval","PC9_Rval","PC10_Rval","PC11_Rval","PC12_Rval","PC13_Rval","PC14_Rval","PC15_Rval","PC16_Rval","PC17_Rval","PC18_Rval","PC19_Rval","PC20_Rval","PC21_Rval","PC22_Rval","PC23_Rval","PC24_Rval","PC25_Rval","PC26_Rval","PC27_Rval","PC28_Rval","PC29_Rval","PC30_Rval","PC31_Rval","PC32_Rval","PC33_Rval","PC34_Rval"
"1",0.019474328801366,0.00891785562500631,0.00922665781868833,0.00149265299927215,0.00640345751359972,0.00474492490410022,0.0203675042438692,0.0047716345370443,0.00343498194038152,0.00304627912015625,0.00756656485536045,1.79997155505846e-05,0.00600183493220874,0.010438423917963,0.00410112457212433,0.000783835417721744,0.000778490832343606,0.00120523128862616,0.00176862542858256,0.000128512293481992,0.00152208750432294,0.00187389786126449,0.000525568407216123,0.000693287357196092,0.000289636761782284,0.000536393372182447,0.000303069009660363,0.000550321041785943,5.69337180362429e-05,7.58713403129642e-07,3.52162276908886e-07,1.26406781024572e-08,3.71527547515252e-09,5.47913732578757e-05
"2",0.0201991710886666,0.0317888591626581,0.015483684600195,0.00312130160120876,0.0266512799142498,0.00917360900427564,0.0263363945997007,0.00621873352490681,0.019563424760637,0.00414156534240087,0.0077260983007649,0.000559472254093109,0.00643602123350964,0.0107550084567495,0.00938088186381078,0.00704684589798738,0.0015270452997893,0.00441433152904451,0.0020082663365907,0.000146408160247094,0.00294625712146362,0.00252627249608543,0.000619322837088679,0.00100117339107804,0.00117167608413989,0.000891743010191198,0.000463705390061644,0.000566287700543499,6.98283078756426e-05,2.88894925231746e-05,3.69429975746834e-07,1.64908842499211e-07,6.83713163345622e-09,6.19820929868696e-05
"3",0.032420778045245,0.0597662644114405,0.0228472004558113,0.00526579626218821,0.0290802966463798,0.0167393519065065,0.0284446782489425,0.00707172691255517,0.0220765536758273,0.00785245051802275,0.00886683853591068,0.0064580040154599,0.00673427749992802,0.0130041946893513,0.0118299825159594,0.00706343903115172,0.00404991713007407,0.00493256971014413,0.00281798578620862,0.00105627134450518,0.00340164637692081,0.00299842062621289,0.00102854429997687,0.00165976655003264,0.00119666666799047,0.0013194874352107,0.000883897896639634,0.000677493621421294,0.00013515602880162,7.22038195557251e-05,1.99211683372658e-06,3.20717851891791e-07,1.07059916311799e-08,9.38512658865401e-05
"4",0.0603531267724936,0.0992551591210401,0.0426317152071532,0.0211704882234613,0.0346085793438467,0.022405345066652,0.0385366508439612,0.0118083519500416,0.0226542639786509,0.00796270004267792,0.0137204411953454,0.00689164112712757,0.00736499281979367,0.0167877910272119,0.0134576539367561,0.00807578850919279,0.00525557623391356,0.00858815902476043,0.00364617697556277,0.00146651055145393,0.00587079537344909,0.00429943010245242,0.00163034876805521,0.00228152139189753,0.00126163378226076,0.00159456081922156,0.00114107533322301,0.000797236684569566,0.000182022035187461,7.74978742006396e-05,2.44345682956618e-06,5.46339796160737e-07,2.29417123393054e-08,0.000103913602581306
"5",0.0830017991055045,0.134898816577127,0.0665827492761752,0.021417188591068,0.0364085593692766,0.026622705802542,0.0483001901491051,0.0128311527976291,0.0236169112470575,0.00798239320687157,0.0178513400161338,0.00826896390462129,0.00947909930252031,0.0266408474482407,0.0158389637418093,0.013957123580153,0.00799398010754836,0.00970212842260402,0.0100560745165493,0.00271962055988134,0.00637668008236023,0.00445943719787068,0.0020898296731912,0.00275778786526602,0.00248201103268824,0.00171704997962341,0.00146621006048075,0.000802776168402885,0.000302367830399927,8.95900018099273e-05,2.61980112925883e-06,6.24339503268127e-07,2.83963539870796e-08,0.000136395282607638
"6",0.0938726486373345,0.135714701394724,0.0725103992539528,0.0246892959107724,0.0381433493786463,0.0292757185327163,0.0505893907266939,0.0157213034478276,0.0245661320907792,0.00868776040398589,0.0213450472322045,0.0089220628642501,0.0140601668181929,0.032168506000875,0.0169268449187979,0.0181832350212156,0.0101398685967523,0.0100333934777682,0.0122020458660117,0.00326444904405294,0.00735846524429528,0.00947918299690535,0.00223440022977,0.00292781357010301,0.0025583759104414,0.0017178706017137,0.0017423199096243,0.00103604298548343,0.000413343618531701,0.000111567741998104,3.0747975528113e-06,7.63302570759913e-07,2.93764392475757e-08,0.000157040072426087
"7",0.139148496098095,0.144157767003162,0.0926576672376788,0.0260424089912819,0.0477333738404843,0.0317098173516112,0.0543822929796689,0.0185014266390763,0.0298910856973493,0.0136546391945438,0.0226952646927273,0.00896647197834441,0.0239411276089113,0.0413129537697635,0.0180502021855318,0.0188917725568473,0.0117148677025161,0.0103116118600766,0.0135886250812477,0.00328742600462431,0.00808751911469756,0.0116901129665542,0.00274905391650433,0.00373966472849716,0.00288285028832621,0.00200722353273768,0.00176870028752222,0.00135898406297715,0.000422134375727336,0.000173302662557182,3.36150285847081e-06,9.56330821582061e-07,2.99816074452812e-08,0.000159122490123952
"8",0.153299200448343,0.14925540711746,0.138810365385411,0.044647421222662,0.0558752706226725,0.0553867375918218,0.0548560936529792,0.0296589186152002,0.0308829045832737,0.0144539175068621,0.0293362608459926,0.00906629285842827,0.0312004569240856,0.0469967290012306,0.0239145607709563,0.0195121452616116,0.0141583523773003,0.0146778047791786,0.0148798051927469,0.00423518289039923,0.00855838984497874,0.0119526428248315,0.00328331592213625,0.00416743874489708,0.0031073721536537,0.00285506583841186,0.00180672394567939,0.00145452096670785,0.000432622753602272,0.000216442065911996,3.75276433756889e-06,1.31767524732436e-06,3.15545543588178e-08,0.00019813095236078
"9",0.184284924089749,0.154903567819784,0.140032959292207,0.0535915310162302,0.0621982786058035,0.0572946592246008,0.0627770255033563,0.0301981579476026,0.0334485790194794,0.0146313692516164,0.0304974585531795,0.0131998952357506,0.0412886498222515,0.0575006790994087,0.0251082148584542,0.0305734742947115,0.016519612628825,0.0149852427257787,0.0149013981441847,0.00597207308386783,0.0129407998957705,0.0133833238498212,0.0060319972825022,0.00501322293083211,0.00411124924712936,0.00409528259998856,0.00201334201532249,0.00192402760316254,0.000660035731892324,0.000221838890893816,3.79880809718037e-06,2.25070525074561e-06,4.14957517064064e-08,0.000297084171479057
"10",0.245948993795449,0.178425388270023,0.141233597772305,0.0541388705929635,0.063066847150406,0.0586778934236277,0.0631926535095292,0.0369472631116295,0.0339301599235878,0.0172032601050598,0.0317372710691755,0.0160133387813877,0.050367958224711,0.0580601699883676,0.0272444500410344,0.0346692867518518,0.0171276529654526,0.0150187867716212,0.0156445684702868,0.00936767344040593,0.0137773925217639,0.015640270769352,0.00730794288264229,0.00557142325637352,0.00457496058757151,0.00414016407848387,0.00228037127856841,0.00261396226178134,0.00072816876301662,0.000319674819653341,5.13371325460298e-06,2.43188021778468e-06,4.64505592728465e-08,0.00036406551780125
