"","PC1_Rval","PC2_Rval","PC3_Rval","PC4_Rval","PC5_Rval","PC6_Rval","PC7_Rval","PC8_Rval","PC9_Rval","PC10_Rval","PC11_Rval","PC12_Rval","PC13_Rval","PC14_Rval","PC15_Rval","PC16_Rval","PC17_Rval","PC18_Rval","PC19_Rval","PC20_Rval","PC21_Rval","PC22_Rval","PC23_Rval","PC24_Rval","PC25_Rval","PC26_Rval","PC27_Rval","PC28_Rval","PC29_Rval","PC30_Rval","PC31_Rval","PC32_Rval","PC33_Rval"
"1",0.0418075134631805,0.0161074618848676,0.000432248913422911,0.00548673274804635,0.00431160865705545,0.00346586253588518,0.00161195934441497,0.000771184064699612,0.00205298646835569,0.00124339551036144,0.00400955857972658,0.00196577120938853,0.0189523339584356,0.00395565404025238,0.00232599890518767,0.00482563889840787,0.000491070373532009,0.00200458167701261,0.000521454422182251,0.000773899556555296,0.000714968760653735,0.000188366437005816,0.000574897483976688,0.000426000404227,5.46418149274385e-05,0.000460678320299074,0.00013930177560319,6.09402580562914e-06,1.09892328738273e-05,6.93986835751528e-07,1.11275794057643e-07,6.40573257147513e-10,0.00169027186971764
"2",0.0695411953082849,0.0162124536262701,0.0147221744420159,0.0182298175946416,0.004802195048559,0.0128054367991814,0.00301394477410049,0.0088459268939003,0.00425448626030538,0.00255045754543631,0.013869869790765,0.00418804269566059,0.0221542221715149,0.00628991228367884,0.0105837319987836,0.00807981365207034,0.00104007536174453,0.00244395366621197,0.000863634113171138,0.00801037592698808,0.00118471304966771,0.000911331104155458,0.000953758042248228,0.000858889749440095,8.56553362584313e-05,0.000494358996002077,0.000373182768203274,1.60390931768193e-05,1.30722101310892e-05,7.21312954260306e-07,2.95022612761771e-07,3.56014292824931e-09,0.00444292977468721
"3",0.0856836687736806,0.0293634547924545,0.0153101268646768,0.0266730539225206,0.0134812704163757,0.0269403920627009,0.00466902549236043,0.0160488004477672,0.00498645031814106,0.00261098918035022,0.0233380614988789,0.0155675248341761,0.0253415586712634,0.0082607480706059,0.0154619662658082,0.00875541197739849,0.00190477538376039,0.00356933668882451,0.00111981003538923,0.00805797985326245,0.00187666167077541,0.00517885570079723,0.00175970643525587,0.00128008311837179,0.000192889803925986,0.000945119264422551,0.000396135579405969,2.10899220060809e-05,4.52483996708627e-05,1.32298922551962e-06,5.06289419630981e-07,1.12587766779286e-08,0.00521900696816249
"4",0.0886610494346238,0.0802650275956312,0.0236177900482151,0.0329462089557395,0.019919273909139,0.0297832825701297,0.00526991102956984,0.0196974157958941,0.0060866522579884,0.005619913936639,0.0237815677538657,0.016096674407711,0.0258551093403654,0.0127320302690646,0.0165343800867708,0.00975270013427408,0.00200690791691719,0.00463198054390074,0.00214125971597009,0.00916543646311256,0.00369495482024641,0.00548382114802185,0.00303307123260567,0.00159281659370805,0.000216014027181637,0.00139026525837769,0.000626228376630049,8.84433796036821e-05,4.72166526998498e-05,1.45090777922849e-06,7.54851645034116e-07,1.16084718356188e-08,0.00732790485496338
"5",0.0913176305311463,0.105533683342353,0.0307930915810735,0.0483718985453711,0.0389516998637434,0.0516986493518862,0.0339679633702798,0.0224297072573971,0.0108878464361204,0.0159518932609061,0.0339023488801854,0.0182878529030779,0.0290781064128743,0.0176331169371247,0.0227594002000424,0.0101772259027493,0.00804570230954869,0.00618977317594893,0.0027665445392531,0.0168345740548447,0.00378121778097986,0.00609084397948919,0.00365834839171627,0.00160082458071405,0.000845781084823417,0.00148493884244767,0.000649700672658695,0.000118444753917922,7.73469479240371e-05,1.72264753436322e-06,8.60556654193509e-07,1.24864745605908e-08,0.0136202688446832
"6",0.130797969133509,0.10722706614016,0.0610371895943753,0.0560103233850121,0.0428041017998615,0.0533785208272557,0.0356097317545014,0.0281371516942036,0.012530657580554,0.0211199137929732,0.0354918123224748,0.0227478987136481,0.0296243253885975,0.0224013781889704,0.0250278200039938,0.0112306202619695,0.0145028258017072,0.0067556264817587,0.00448052489139187,0.0171966493489844,0.00512083465329181,0.0106733242089035,0.00410498280792327,0.0017160520846113,0.00124252635592074,0.00163298844377761,0.00079039370093603,0.000134156792816379,0.0001272659449247,2.06276531270879e-06,9.01933073555297e-07,1.27473258749422e-08,0.0137246562587078
"7",0.156917233927853,0.166490007060622,0.0899485359137955,0.0715534366802069,0.045620724445169,0.0562235717113473,0.0417419689447881,0.0311002139589656,0.013359164712127,0.0271729936400825,0.0371731819971483,0.0246793194097302,0.0300170111973725,0.0234446006109736,0.0296747154130213,0.0137846135279361,0.0180860959702524,0.00752801315128366,0.00511972856696012,0.0207696585919384,0.00597748008597775,0.0112736211328089,0.00424046650739935,0.00217484418935335,0.0013293501931782,0.00164250758143362,0.00106671557952521,0.000134314082352651,0.000137534778421297,2.0651927801813e-06,1.64776008692099e-06,1.27675961801906e-08,0.0148998971378778
"8",0.223583754467272,0.166512644253671,0.0931021774282387,0.0934197393480676,0.0461273095120233,0.0606226739936466,0.0433169118294015,0.0365693048307615,0.0146976100561168,0.0341166339719648,0.0429688338463767,0.0324827910367403,0.0316715362372586,0.0249495835665154,0.0337490455614623,0.0146603501399356,0.0183785001996689,0.00798669410902122,0.00652117240416159,0.0208034145943656,0.00793742545030806,0.0115542366808121,0.00586892786144183,0.00232763927284724,0.00136142204572723,0.0026587802589846,0.00110264729654264,0.000165530985335143,0.000154125404851831,2.1467014814491e-06,1.93031322698341e-06,1.55859233821785e-08,0.0265631429113389
"9",0.267923955350245,0.17221512266643,0.0977516677552853,0.0960866445206307,0.050452746578195,0.0702311469614301,0.0545914841860031,0.0375109832215185,0.0151614535137742,0.0418061204269781,0.0513461762487995,0.0336653894494448,0.0327163080676853,0.0259316425211794,0.0435961460206296,0.0148658770142512,0.0200102048711362,0.0161705636631381,0.00653290177183304,0.0236198488003991,0.00962490259949799,0.0118611838453122,0.00720227080711048,0.00248226553232421,0.00164430307057986,0.00291140281337958,0.0011957709330916,0.00016654414249724,0.000157824354600475,2.16834697656155e-06,2.18078754502346e-06,1.72888692571754e-08,0.0289665126200626
"10",0.289009605706958,0.172744242560806,0.100938817771492,0.102545442308135,0.0525529192838371,0.0911528972801451,0.0580339313452559,0.0428598255680044,0.0155218731753032,0.0459980032658016,0.0556839669339496,0.0364274667949384,0.0342813671302382,0.0264328258658189,0.0526388896540118,0.021536116690358,0.0268856582014287,0.0169654059811569,0.0137241764519823,0.0263583417471234,0.0105913563705338,0.0138222817306821,0.00769461002387203,0.00318538742032097,0.00195777616154284,0.00313453631940498,0.00151211306615709,0.000194439498635247,0.00019186218818549,2.47763244296892e-06,2.21201711839427e-06,1.88868175810865e-08,0.0306981485075982
