"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33"
"Standard deviation",3.51234876731483,2.2202684277608,1.75309464379691,1.53275793185972,1.286382624095,1.25081565002203,1.05478691930548,0.99124283713158,0.940735063431091,0.889918186903559,0.865696888427376,0.766254801727067,0.610102985779491,0.534751424934014,0.527681693866623,0.499353317022296,0.461414377959211,0.366323923740654,0.338986379854339,0.305982167333222,0.27411424465512,0.267898946413111,0.187335997643656,0.139623468300546,0.129198757691126,0.122043239577795,0.0811503125238585,0.0355544604809482,0.0240745919349083,0.00385239349749158,0.00238822354768946,0.00036151185911074,1.07991532240628e-15
"Proportion of Variance",0.37384,0.14938,0.09313,0.07119,0.05014,0.04741,0.03371,0.02977,0.02682,0.024,0.02271,0.01779,0.01128,0.00867,0.00844,0.00756,0.00645,0.00407,0.00348,0.00284,0.00228,0.00217,0.00106,0.00059,0.00051,0.00045,2e-04,4e-05,2e-05,0,0,0,0
"Cumulative Proportion",0.37384,0.52322,0.61635,0.68754,0.73769,0.7851,0.81881,0.84859,0.8754,0.8994,0.92211,0.9399,0.95118,0.95985,0.96829,0.97584,0.9823,0.98636,0.98984,0.99268,0.99496,0.99713,0.9982,0.99879,0.99929,0.99974,0.99994,0.99998,1,1,1,1,1
