"","PC1_Rval","PC2_Rval","PC3_Rval","PC4_Rval","PC5_Rval","PC6_Rval","PC7_Rval","PC8_Rval","PC9_Rval","PC10_Rval","PC11_Rval","PC12_Rval","PC13_Rval","PC14_Rval","PC15_Rval","PC16_Rval","PC17_Rval","PC18_Rval","PC19_Rval","PC20_Rval","PC21_Rval","PC22_Rval","PC23_Rval","PC24_Rval","PC25_Rval","PC26_Rval","PC27_Rval","PC28_Rval","PC29_Rval","PC30_Rval","PC31_Rval","PC32_Rval","PC33_Rval","PC34_Rval"
"1",0.00476614056088884,0.01240153025377,0.0159576662866761,0.0304573822444964,0.00473707670725458,0.00375402617670574,0.000380263726643085,0.00147499674479027,0.00170211007228897,0.000622752341729986,0.00466541571849689,0.000138788775951276,0.00318828136574689,0.0018282092371042,0.000479187917368545,0.00338599832589735,0.00350885831010448,0.0030227480367567,0.000239563840497186,0.00152584628842283,0.000471363032348735,0.00184279081298367,8.07292557798595e-05,0.000297286789380707,0.000780506198783083,0.000136439677194686,6.42872781228389e-05,0.000166028080870119,2.93113306062063e-05,4.87368440430332e-05,7.92721234351956e-07,4.63130328024956e-08,4.35611474240532e-10,0.000515954063199445
"2",0.0118118879175449,0.0178030674829021,0.0422487940196541,0.0318900460088695,0.0250220206046621,0.00700316621036482,0.00395191032328366,0.010652626753379,0.00604509440879547,0.00203524097218944,0.00882734949078318,0.00484428362095174,0.00588446694808314,0.00220843790968228,0.00656790738809308,0.00349327042561155,0.00502899922975706,0.00462158732665709,0.00430446813830082,0.00241826035914378,0.00280502472959477,0.00355855863610964,0.000625311915981623,0.000500974100817817,0.000904164469914298,0.000250280997613248,0.000102532767839708,0.00103344208036254,4.36101841877273e-05,5.73266344035743e-05,1.00571541640855e-06,6.60387871919756e-08,3.18701206069634e-09,0.00105538507308185
"3",0.0449488295014999,0.0259131613317321,0.0498896937822287,0.0356634422445218,0.0373833680866207,0.00710010090129385,0.00549801817676432,0.0155033221031001,0.0115661641517816,0.0040290905723622,0.0138015003081151,0.00486485710451718,0.00600098398633206,0.0139040402845593,0.00728308542480625,0.00350547233707124,0.00641172776878621,0.00633366246363789,0.00883677673564103,0.00297454072942172,0.0032937616421477,0.00636599205061846,0.00076568499675657,0.000880401882366452,0.00106199536311103,0.000540246886687844,0.000598501808353963,0.00123829288186524,6.24241344322383e-05,6.86903733078193e-05,1.52943949815696e-06,2.74155621717707e-07,6.62688383022495e-09,0.00200394559988924
"4",0.0713100539657595,0.0551087124630569,0.0502308039181812,0.0551670226347172,0.0474439330331027,0.0615937281796268,0.00572916155392091,0.0195675671779137,0.0119253132569832,0.00554546111265896,0.013925843622163,0.00501612053878727,0.00959701794665255,0.0164954393412794,0.0106405218932142,0.00643743298215168,0.00817987186686244,0.00964639190496408,0.0100050332361657,0.00948124713642448,0.00373440314164818,0.00746843907105422,0.000912950585328177,0.00223612861018119,0.00107180316689233,0.00130784666548164,0.00067111157449993,0.00218162575267116,0.000153623664246306,8.23305255900196e-05,2.17637473669534e-06,3.8712839816076e-07,7.25148186648497e-09,0.00251738539320392
"5",0.0756912622844782,0.0551525659327666,0.0507414512277895,0.0587575008650218,0.0500035930155563,0.0824321450106089,0.00946438229974114,0.0198944693440313,0.0131669233403287,0.00696685187756008,0.0168869691841683,0.00672628276125451,0.00960712631629256,0.0195386014853078,0.0108800813844575,0.010837631414282,0.00930847480270745,0.00989346960665533,0.0113333318329692,0.0111785915390263,0.00487091185782997,0.00758863652196818,0.000969399577705672,0.0030578142957815,0.00141165202178676,0.0013394117477864,0.000962188101668343,0.0021833722388451,0.00027010314398372,9.08257772541335e-05,2.18534212661089e-06,4.02189676808712e-07,7.45699016764114e-09,0.00371841598047561
"6",0.117879420639271,0.0634485408296527,0.0702008450903384,0.0598058704093921,0.0528521674667663,0.0930744891483018,0.0143073503966173,0.0200085189519237,0.0152771896290963,0.00746272398160873,0.01700450513696,0.0078967820758722,0.0134980816179227,0.0225154865860935,0.0125614854048281,0.0114804165125336,0.0122071024011443,0.0141037926936117,0.0116471627301729,0.0127441129423486,0.00553956275515068,0.00924171216121791,0.00153777266893741,0.00394533904856463,0.00297808243736153,0.00301094369482443,0.000964887192911044,0.00221158092581807,0.000306364276343899,0.000106093559915424,2.8370631627207e-06,8.32253434969112e-07,1.04192846981419e-08,0.00503535865439357
"7",0.135600144895912,0.0647541624245789,0.0761802230989132,0.0796418942839044,0.0553095481291654,0.095184985850384,0.0148092725979588,0.0211294495401552,0.0173720838643359,0.0114296208364507,0.0194763587479333,0.00916079402191149,0.0232298448509837,0.0243435722570871,0.0150411849531753,0.0119759473246056,0.0138601320176844,0.0145504429392542,0.0126588602730176,0.0136986674115554,0.00640193746562194,0.00952258488021366,0.00206261380619629,0.00408629482200153,0.00364578661726543,0.00304240936136015,0.00103778499404375,0.00230430218146218,0.000413300792416538,0.000126263681912621,4.55152587057865e-06,8.68439135969413e-07,1.07559991676123e-08,0.00643128264422613
"8",0.165666117271954,0.084229791466621,0.103802741403702,0.088460529126865,0.0707124683510049,0.103477207621732,0.0170700834547901,0.0223354271448896,0.0177125538842768,0.0187551189942135,0.0243219515134475,0.0125481693771285,0.023603443913345,0.0258337345506683,0.0260005073327035,0.0125475919661413,0.0139364746479131,0.0147967483847307,0.0133938827251554,0.0149959413178033,0.00894099797827941,0.0105687890969828,0.00218681934583102,0.00442879863939507,0.00394921085092821,0.00365338728669629,0.00141765890869918,0.00263705250006945,0.000474259568715001,0.000140701042502124,4.76548376123264e-06,1.02178429243976e-06,1.87844680646439e-08,0.00797215398706033
"9",0.175090941705497,0.114365145946049,0.112074563397697,0.0964140991380566,0.0843148992435438,0.105604414077654,0.0170811207647425,0.0240591903468625,0.0228875678286975,0.020933479293389,0.025257268146873,0.021224556168904,0.0238203702163231,0.0277046218234699,0.0288278601962062,0.0128899261747814,0.014620976385643,0.0151994836725248,0.0141288121605556,0.0154283486597694,0.00925287166527359,0.0118982982743623,0.00272418825305878,0.00592651875790147,0.00402123639964159,0.00429617855271586,0.00153171641075224,0.00274503649453288,0.00050711922337156,0.00019223041082468,4.81328812866549e-06,1.24367734927391e-06,2.96354709844318e-08,0.00859462002814002
"10",0.181770324804158,0.119517827646728,0.112957904532557,0.105121570964648,0.0858789426524233,0.116317946840912,0.01717767759016,0.0259240595246694,0.0235709817678458,0.0211586236589066,0.0315646942559157,0.0218073527970548,0.0270237063203971,0.0306628961075114,0.0302444667837744,0.01444574629259,0.0147419068283567,0.0166044525380663,0.0148300404799282,0.0187915210916129,0.00953102136551468,0.0143737576325347,0.00354897923724581,0.00603246870123718,0.00608251315283744,0.0048963125691787,0.00173750487425308,0.00296579511553876,0.000647645643438455,0.000197636718748995,5.42383006591361e-06,1.39367479942302e-06,4.28666985923989e-08,0.00916835356009276
