func,value,,,
sa,18.12017155,,,
sq,22.43297086,,,
s10z,357.0542053,,,
sdq,0.342245375,,,
sdq6,239689.6481,,,
sdr,0.000403154,,,
sbi,0.06935873,,,
sci,-138.0447338,,,
ssk,0.482174561,,,
sku,-0.136437949,,,
sds,0.008013762,,,
sfd,2.000000328,,,
srw,c(10.1010101010101,0.052284178, 70.7070707070707),
std,c(0, 0.0350735966161814),,
svi,-45.59433842,,,
stxr,c(0.727363640713036, 0.555407357139538),,
ssc,-0.000921612,,,
sv,237.3630066,,,
sph,357.8890076,,,
sk,56.19832174,,,
smean,282.4049832,,,
spk,50.00486384,,,
svk,14.32392712,,,
scl,c(1028.13330078125,785.0719604,1413.506592, 1413.50659179688)
sdc,34.45501709,,,
