"","sa_1","sq_1","s10z_1","sdq_1","sdq6_1","sdr_1","sbi_1","sci_1","ssk_1","sku_1","sds_1","sfd_1","srw_1","srw_2","srw_3","std_1","std_2","svi_1","stxr_1","stxr_2","ssc_1","sv_1","sph_1","sk_1","smean_1","spk_1","svk_1","scl_1","scl_2","sdc_1","curvature_1","tpi_1","tri_1","vrm_1","sar_1","raster.entropy_1","AdjSD_1","RIE_1","slope_1","northness_1","eastness_1","TPI_1","TRI_1","TRIriley_1","TRIrmsd_1","roughness_1"
"ORNL_2018_DEM_mosaic_2025-10-22_1.tif",16.4259437820389,20.0300808461917,323.569000244141,0.223779227885823,231572.317632872,0.00029387701772668,0.064810944947316,-139.952688394654,0.294369299373991,-0.549699903604661,0.01278478158539,2.00000019924638,10.1010101010101,0.0569186570888006,101.010101010101,90,0.0254050322522093,-44.905162700555,0.730865535363263,0.557932909743696,-0.00126935851553859,233.255004882812,325.557006835938,56.2040603434863,272.950148052598,25.4858861831055,10.6129206778909,1033.08325195312,1413.50659179688,16.5030212402344,0.00047321141892286,1.71188806426846e-06,0.476783040467796,0.00120627549255505,0.980668993376,3.21740735141476,0.0389691873088005,0.0430526576059639,9.88798924049936,-0.16260011113911,0.0401580925157573,1.92587407230105e-06,0.144805623465214,0.476965915054062,0.168632916464792,0.480511457159637
"ORNL_2018_DEM_mosaic_2025-10-22_2.tif",18.739303066998,23.0164758713568,336.841796875,0.295143308191377,230759.720887791,0.00039372018150741,0.0732423297071303,-132.660991739697,0.482517221364993,-0.510102026406732,0.0151431393535687,2.00000029737898,10.1010101010101,0.055402633483361,80.8080808080808,90,0.0285282966197022,-44.4779207082519,0.726363074710137,0.554815446265737,-0.0010846135656909,231.805999755859,336.980987548828,52.8768534240307,271.825645145388,42.1938113131486,10.1049084175112,1026.71899414062,1413.50659179688,22.72998046875,0.00069666638041479,-3.14720618216046e-06,0.587982294500878,0.00165279860041871,0.967232455928413,3.21740693204163,0.0424183130453887,0.0464268980644359,12.0436552939674,0.0319881642865132,0.0216330191378942,-3.54060695491909e-06,0.179933122962124,0.588377358329004,0.208022809985542,0.58744130845074
"ORNL_2018_DEM_mosaic_2025-10-22_3.tif",19.4641913559909,24.4502631368708,357.792602539062,0.299614616646338,227225.052124798,0.0002602535423725,0.0772127363566626,-120.8683578823,1.11230241655237,0.742673931429593,0.0122722692011338,2.0000001488065,10.1010101010101,0.0531922647584356,80.8080808080808,90,0.0295555831150411,-44.1207047317904,0.732276224613855,0.557019869517074,-0.00087817581258239,226.559997558594,357.889007568359,42.2131179209794,267.450882808949,76.7407556022949,12.3759673751909,1035.07727050781,1413.50659179688,41.2279968261719,0.00050964545711362,2.54965021078573e-05,0.609976508465238,0.00157973543335169,0.965384434878014,3.21740689184695,0.0405770331922614,0.0442954721428977,12.6495249321394,-0.107118503969803,-0.112217405590702,2.86835648713487e-05,0.187126854417101,0.610249992088366,0.215755953812377,0.61284540119154
"ORNL_2018_DEM_mosaic_2025-10-22_4.tif",14.7878675285101,18.093016373227,324.944995117187,0.279996472592221,222452.942179302,0.00041089013090463,0.0609143273819516,-136.357263553038,0.702572611926815,-0.344921612016144,0.013543039653894,2.00000034800418,10.1010101010101,0.0532300009715112,70.7070707070707,0,0.0304923164084291,-44.273742034196,0.710355098162727,0.54379967746298,-0.00118324288494714,227.317993164062,324.992004394531,36.4522919202551,262.27079183437,49.0227748265305,12.1999562053221,1004.09161376953,1413.50659179688,27.968017578125,0.00055604141274848,8.91380546605329e-06,0.549301861839897,0.00160890173889138,0.970730079455565,3.21740696794576,0.0396013707112782,0.042845110812371,11.3142563106364,-0.121019109956048,0.0391255843088862,1.00280311493188e-05,0.167703510360034,0.549647472741446,0.194329727618732,0.550998608954285
"ORNL_2018_DEM_mosaic_2025-10-22_5.tif",23.0731912674787,27.1983787874566,362.695599365234,0.267439094804597,246288.644170031,0.00024702493596828,0.0818801601804541,-140.23618983444,0.119645205857572,-0.949335064313097,0.0115035006247496,2.00000021163406,10.1010101010101,0.0618581324435418,111.111111111111,0,0.0212551694943992,-46.9486339723877,0.694405500919474,0.531355083826981,-0.00099738690167684,242.470001220703,362.7919921875,83.3243442836129,289.775067579877,30.7289528054962,6.26996417531552,981.546752929688,1413.50659179688,30.6189880371094,0.00038441814202712,3.03062372280283e-05,0.558286186222115,0.00157339335426932,0.972537306846384,3.21740718451985,0.0416895414396749,0.0455823261061295,11.6351616721808,-0.0549904077044563,0.00423047992465845,3.40945168815375e-05,0.17022986996632,0.558664776319287,0.197517825872716,0.562842096459924
"ORNL_2018_DEM_mosaic_2025-10-22_6.tif",16.9417598440988,20.7362146552442,354.909600830078,0.335932291570757,243560.467101978,0.0005047211631898,0.0634513398509071,-147.847311687071,0.627634733062904,-0.220686472144133,0.00871371153310522,2.00000053358936,10.1010101010101,0.0515307821891576,60.6060606060606,0,0.0344441923590387,-48.4755038700944,0.711425961138383,0.544507440165963,-0.00110071690651218,249.225997924805,354.954010009766,52.0156995366401,287.111155100866,45.2108473029784,8.50195958168786,1005.60528564453,1413.50659179688,28.1490173339844,0.00050424487800003,-8.61555649197267e-06,0.700913901188732,0.00165804793438677,0.95587204080146,3.21740674052928,0.0410750176809227,0.0444722922184806,14.7142280392122,-0.107875074518496,-0.0267352949677899,-9.69250105347186e-06,0.215758971307771,0.701337097709154,0.247960108843917,0.711790872876939
"ORNL_2018_DEM_mosaic_2025-10-22_7.tif",33.8015238009922,43.9127101394757,412.714202880859,0.324056975568245,234662.393595578,0.00015289629212422,0.11715272994699,-70.1960346462091,1.4444173307064,0.904939134047788,0.0107027000243493,2.00000007919913,10.1010101010101,0.0668095415741497,111.111111111111,0,0.0238889903021872,-44.1781497043652,0.744582167402482,0.55840322585381,-0.00060354720612295,227.490005493164,412.803009033203,46.2039094401041,274.029366571803,132.885755028297,6.22394752589423,1052.47180175781,1413.50659179688,37.9700012207031,0.00048663187479407,1.49739131753846e-05,0.647315515330136,0.00192328621560782,0.960663821954989,3.21740672431972,0.0416217135483547,0.0448071733932334,13.4395939961938,-0.0336362436336277,-0.0737662746444972,1.68456523223041e-05,0.19852721628505,0.647596778224402,0.228960036678545,0.649345248522555
"ORNL_2018_DEM_mosaic_2025-10-22_8.tif",20.1026174078923,23.7459996996474,340.757391357422,0.354358554456996,234842.046581232,0.00057432210863341,0.0739400629731058,-133.304055304558,0.574342133260266,-0.527122453509895,0.0127905373397054,2.00000029910092,10.1010101010101,0.0683503043883891,111.111111111111,0,0.0245232062980384,-45.8803271290015,0.734367084573822,0.554858755764309,-0.00123963672923279,236.333999633789,340.878997802734,52.9240597528573,276.574479660638,43.9617787357025,7.65996578230295,1038.03271484375,1413.50659179688,19.7269897460938,0.00071514668995034,-4.95158378658667e-06,0.556736426362272,0.0022699339645131,0.970581410372244,3.21740671018267,0.0446855065173958,0.0483577453111041,11.0806430510774,-0.103068545024423,0.0247439539645953,-5.57053175992535e-06,0.167825126308812,0.556959956694822,0.196915081114124,0.555214781364702
"ORNL_2018_DEM_mosaic_2025-10-22_9.tif",19.0263041686678,22.1206149192019,362.794201660156,0.29315534538125,252603.854825325,0.00038007418282417,0.0663264954559502,-157.666131790611,0.196759762433958,-1.05306068707584,0.0113551022634879,2.00000028626693,10.1010101010101,0.0584937726183218,90.9090909090909,0,0.0268755574245269,-49.8553969439762,0.711727702689749,0.543602215511865,-0.00109734343358455,256.680999755859,362.994995117188,64.8536182560971,297.770137954215,35.4298755813218,6.03098113858039,1006.03179931641,1413.50659179688,29.4840087890625,0.00051545696139908,1.02803355130337e-05,0.55802055939848,0.00155216586502624,0.970911963546603,3.21740712964095,0.0386527572391177,0.0421527488195387,11.5772818831514,-0.0779700894825728,-0.0362378025364597,1.15653774521611e-05,0.17006394137269,0.558245890360545,0.197369727321717,0.566059056601265
"RMNP_2020_DEM_mosaic_2025-10-22_1.tif",42.5589643020412,51.7785824704649,2850.31000976563,0.261410502717844,2266174.81113708,3.23921665351584e-05,0.018734358121463,-1852.19427660796,0.649353471455532,0.242548503951423,0.0170067525008127,2.0000000160721,10.1010101010101,0.0890032889151875,161.616161616162,90,0.037999129415846,-512.309751953125,0.729364599998998,0.557779059550863,-0.00047211969857741,2584.32006835938,2909.080078125,129.276819415683,2678.2021620953,174.918604312011,20.5693725581064,1030.96166992188,1413.50659179688,145.25,0.00150843146689035,-4.60339435110976e-05,0.507058433414555,0.00197714394204239,0.977174262885293,3.21740787945622,0.0473828809825076,0.052514631722642,10.0977934941922,-0.0414354285832536,0.524478968212002,-5.17881864499478e-05,0.153104211553637,0.507157628796691,0.179307299226305,0.50082895334238
