"func","value"
"sa",50.1974735284507
"sq",65.815773376359
"s10z",3007.96997070312
"sdq",0.321227775145231
"sdq6",2352086.87803851
"sdr",4.46193575327521e-05
"sbi",0.0224429586313085
"sci",-1855.56031711527
"ssk",1.36518315078107
"sku",1.29925646605816
"sds",0.0135758224284729
"sfd",2.00000001170494
"srw",c(10.1010101010101, 0.0867277298112949, 151.515151515152)
"std",c(90, 0.0255511521270243)
"svi",-531.977414216979
"stxr",c(0.730894293215755, 0.558155804690483)
"ssc",-0.000444030623058047
"sv",2679.15991210938
"sph",3019.18994140625
"sk",97.8120438991436
"smean",2779.76612951921
"spk",212.257619723877
"svk",29.9597742077622
"scl",c(1033.12390136719, 788.956909179688, 1413.50659179688, 1413.50659179688)
"sdc",86.60986328125
