"file","func","value","site","tile","res"
"ORNL_2018_DEM_mosaic_2025-10-22_7_5m.tif","sa_1",33.7998924730176,"ORNL","7","5"
"ORNL_2018_DEM_mosaic_2025-10-22_8_100m.tif","sa_1",19.6883708156585,"ORNL","8","100"
"ORNL_2018_DEM_mosaic_2025-10-22_8_10m.tif","sa_1",20.0951704325922,"ORNL","8","10"
"ORNL_2018_DEM_mosaic_2025-10-22_8_15m.tif","sa_1",20.043714387935,"ORNL","8","15"
"ORNL_2018_DEM_mosaic_2025-10-22_8_1m.tif","sa_1",20.1026174078923,"ORNL","8","1"
"ORNL_2018_DEM_mosaic_2025-10-22_8_30m.tif","sa_1",20.0028846321385,"ORNL","8","30"
"ORNL_2018_DEM_mosaic_2025-10-22_8_50m.tif","sa_1",19.970475720358,"ORNL","8","50"
"ORNL_2018_DEM_mosaic_2025-10-22_8_5m.tif","sa_1",20.100653200414,"ORNL","8","5"
"ORNL_2018_DEM_mosaic_2025-10-22_9_100m.tif","sa_1",18.5050812374115,"ORNL","9","100"
"ORNL_2018_DEM_mosaic_2025-10-22_9_10m.tif","sa_1",19.0184045033679,"ORNL","9","10"
"ORNL_2018_DEM_mosaic_2025-10-22_9_15m.tif","sa_1",18.9598528423762,"ORNL","9","15"
"ORNL_2018_DEM_mosaic_2025-10-22_9_1m.tif","sa_1",19.0263041686678,"ORNL","9","1"
"ORNL_2018_DEM_mosaic_2025-10-22_9_30m.tif","sa_1",18.9180196074483,"ORNL","9","30"
"ORNL_2018_DEM_mosaic_2025-10-22_9_50m.tif","sa_1",18.8564643327952,"ORNL","9","50"
"ORNL_2018_DEM_mosaic_2025-10-22_9_5m.tif","sa_1",19.0242809976273,"ORNL","9","5"
"RMNP_2020_DEM_mosaic_2025-10-22_1_100m.tif","sa_1",42.4953862213135,"RMNP","1","100"
"RMNP_2020_DEM_mosaic_2025-10-22_1_10m.tif","sa_1",42.5571140297299,"RMNP","1","10"
"RMNP_2020_DEM_mosaic_2025-10-22_1_15m.tif","sa_1",42.8394979733554,"RMNP","1","15"
"RMNP_2020_DEM_mosaic_2025-10-22_1_1m.tif","sa_1",42.5589643020412,"RMNP","1","1"
"RMNP_2020_DEM_mosaic_2025-10-22_1_30m.tif","sa_1",42.8227072646338,"RMNP","1","30"
"RMNP_2020_DEM_mosaic_2025-10-22_1_50m.tif","sa_1",42.528048816109,"RMNP","1","50"
"RMNP_2020_DEM_mosaic_2025-10-22_1_5m.tif","sa_1",42.5584745789717,"RMNP","1","5"
"RMNP_2020_DEM_mosaic_2025-10-22_2_100m.tif","sa_1",39.9982521209717,"RMNP","2","100"
"RMNP_2020_DEM_mosaic_2025-10-22_2_10m.tif","sa_1",40.0561643893288,"RMNP","2","10"
"RMNP_2020_DEM_mosaic_2025-10-22_2_15m.tif","sa_1",40.0932249133872,"RMNP","2","15"
"RMNP_2020_DEM_mosaic_2025-10-22_2_1m.tif","sa_1",40.0573893220608,"RMNP","2","1"
"RMNP_2020_DEM_mosaic_2025-10-22_2_30m.tif","sa_1",40.0903608983339,"RMNP","2","30"
"RMNP_2020_DEM_mosaic_2025-10-22_2_50m.tif","sa_1",40.0344504756929,"RMNP","2","50"
"RMNP_2020_DEM_mosaic_2025-10-22_2_5m.tif","sa_1",40.0569905885221,"RMNP","2","5"
"RMNP_2020_DEM_mosaic_2025-10-22_3_100m.tif","sa_1",49.9374187499996,"RMNP","3","100"
"RMNP_2020_DEM_mosaic_2025-10-22_3_10m.tif","sa_1",50.1943438352317,"RMNP","3","10"
"RMNP_2020_DEM_mosaic_2025-10-22_3_15m.tif","sa_1",50.6415748471787,"RMNP","3","15"
"RMNP_2020_DEM_mosaic_2025-10-22_3_1m.tif","sa_1",50.1974735284507,"RMNP","3","1"
"RMNP_2020_DEM_mosaic_2025-10-22_3_30m.tif","sa_1",50.6130081848739,"RMNP","3","30"
"RMNP_2020_DEM_mosaic_2025-10-22_3_50m.tif","sa_1",50.1343973789224,"RMNP","3","50"
"RMNP_2020_DEM_mosaic_2025-10-22_3_5m.tif","sa_1",50.1965931228675,"RMNP","3","5"
"RMNP_2020_DEM_mosaic_2025-10-22_4_100m.tif","sa_1",29.9979001739501,"RMNP","4","100"
"RMNP_2020_DEM_mosaic_2025-10-22_4_10m.tif","sa_1",30.4156197283538,"RMNP","4","10"
"RMNP_2020_DEM_mosaic_2025-10-22_4_15m.tif","sa_1",30.5864739546572,"RMNP","4","15"
"RMNP_2020_DEM_mosaic_2025-10-22_4_1m.tif","sa_1",30.4223645352196,"RMNP","4","1"
"RMNP_2020_DEM_mosaic_2025-10-22_4_30m.tif","sa_1",30.5392157291305,"RMNP","4","30"
"RMNP_2020_DEM_mosaic_2025-10-22_4_50m.tif","sa_1",30.2920036531449,"RMNP","4","50"
"RMNP_2020_DEM_mosaic_2025-10-22_4_5m.tif","sa_1",30.4205879530126,"RMNP","4","5"
"RMNP_2020_DEM_mosaic_2025-10-22_5_100m.tif","sa_1",126.422598132325,"RMNP","5","100"
"RMNP_2020_DEM_mosaic_2025-10-22_5_10m.tif","sa_1",126.637887771387,"RMNP","5","10"
"RMNP_2020_DEM_mosaic_2025-10-22_5_15m.tif","sa_1",127.33300741594,"RMNP","5","15"
"RMNP_2020_DEM_mosaic_2025-10-22_5_1m.tif","sa_1",126.641014341791,"RMNP","5","1"
"RMNP_2020_DEM_mosaic_2025-10-22_5_30m.tif","sa_1",127.305718628694,"RMNP","5","30"
"RMNP_2020_DEM_mosaic_2025-10-22_5_50m.tif","sa_1",126.562120788577,"RMNP","5","50"
"RMNP_2020_DEM_mosaic_2025-10-22_5_5m.tif","sa_1",126.640207697284,"RMNP","5","5"
"RMNP_2020_DEM_mosaic_2025-10-22_6_100m.tif","sa_1",128.428081176758,"RMNP","6","100"
"RMNP_2020_DEM_mosaic_2025-10-22_6_10m.tif","sa_1",129.018487653824,"RMNP","6","10"
"RMNP_2020_DEM_mosaic_2025-10-22_6_15m.tif","sa_1",128.966853713618,"RMNP","6","15"
"RMNP_2020_DEM_mosaic_2025-10-22_6_1m.tif","sa_1",129.024701241201,"RMNP","6","1"
"RMNP_2020_DEM_mosaic_2025-10-22_6_30m.tif","sa_1",128.910928149106,"RMNP","6","30"
"RMNP_2020_DEM_mosaic_2025-10-22_6_50m.tif","sa_1",128.863710811044,"RMNP","6","50"
"RMNP_2020_DEM_mosaic_2025-10-22_6_5m.tif","sa_1",129.0230496528,"RMNP","6","5"
"RMNP_2020_DEM_mosaic_2025-10-22_7_100m.tif","sa_1",47.5311057983398,"RMNP","7","100"
"RMNP_2020_DEM_mosaic_2025-10-22_7_10m.tif","sa_1",47.8884709161843,"RMNP","7","10"
"RMNP_2020_DEM_mosaic_2025-10-22_7_15m.tif","sa_1",48.0136742723179,"RMNP","7","15"
"RMNP_2020_DEM_mosaic_2025-10-22_7_1m.tif","sa_1",47.8926500490313,"RMNP","7","1"
"RMNP_2020_DEM_mosaic_2025-10-22_7_30m.tif","sa_1",47.9879364646388,"RMNP","7","30"
"RMNP_2020_DEM_mosaic_2025-10-22_7_50m.tif","sa_1",47.8020698104853,"RMNP","7","50"
"RMNP_2020_DEM_mosaic_2025-10-22_7_5m.tif","sa_1",47.8914971797019,"RMNP","7","5"
"RMNP_2020_DEM_mosaic_2025-10-22_8_100m.tif","sa_1",102.626304394531,"RMNP","8","100"
"RMNP_2020_DEM_mosaic_2025-10-22_8_10m.tif","sa_1",103.10850969377,"RMNP","8","10"
"RMNP_2020_DEM_mosaic_2025-10-22_8_15m.tif","sa_1",103.391744370995,"RMNP","8","15"
"RMNP_2020_DEM_mosaic_2025-10-22_8_1m.tif","sa_1",103.113719350845,"RMNP","8","1"
"RMNP_2020_DEM_mosaic_2025-10-22_8_30m.tif","sa_1",103.346715453966,"RMNP","8","30"
"RMNP_2020_DEM_mosaic_2025-10-22_8_50m.tif","sa_1",102.996133959961,"RMNP","8","50"
"RMNP_2020_DEM_mosaic_2025-10-22_8_5m.tif","sa_1",103.112353652784,"RMNP","8","5"
"RMNP_2020_DEM_mosaic_2025-10-22_9_100m.tif","sa_1",108.783208746338,"RMNP","9","100"
"RMNP_2020_DEM_mosaic_2025-10-22_9_10m.tif","sa_1",109.053082914166,"RMNP","9","10"
"RMNP_2020_DEM_mosaic_2025-10-22_9_15m.tif","sa_1",109.033384596152,"RMNP","9","15"
"RMNP_2020_DEM_mosaic_2025-10-22_9_1m.tif","sa_1",109.056988919065,"RMNP","9","1"
"RMNP_2020_DEM_mosaic_2025-10-22_9_30m.tif","sa_1",109.003526775045,"RMNP","9","30"
"RMNP_2020_DEM_mosaic_2025-10-22_9_50m.tif","sa_1",108.966369503212,"RMNP","9","50"
"RMNP_2020_DEM_mosaic_2025-10-22_9_5m.tif","sa_1",109.056037734794,"RMNP","9","5"
"CPER_2020_DEM_mosaic_2025-10-22_1_100m.tif","sa_1",8.62289609680176,"CPER","1","100"
"CPER_2020_DEM_mosaic_2025-10-22_1_10m.tif","sa_1",8.71394942135709,"CPER","1","10"
"CPER_2020_DEM_mosaic_2025-10-22_1_15m.tif","sa_1",8.77978762268125,"CPER","1","15"
"CPER_2020_DEM_mosaic_2025-10-22_1_1m.tif","sa_1",8.71514040870935,"CPER","1","1"
"CPER_2020_DEM_mosaic_2025-10-22_1_30m.tif","sa_1",8.77107379042212,"CPER","1","30"
"CPER_2020_DEM_mosaic_2025-10-22_1_50m.tif","sa_1",8.69039283237455,"CPER","1","50"
"CPER_2020_DEM_mosaic_2025-10-22_1_5m.tif","sa_1",8.71482398782686,"CPER","1","5"
"CPER_2020_DEM_mosaic_2025-10-22_2_100m.tif","sa_1",6.59130370788575,"CPER","2","100"
"CPER_2020_DEM_mosaic_2025-10-22_2_10m.tif","sa_1",6.69857775773148,"CPER","2","10"
"CPER_2020_DEM_mosaic_2025-10-22_2_15m.tif","sa_1",6.73387269905152,"CPER","2","15"
"CPER_2020_DEM_mosaic_2025-10-22_2_1m.tif","sa_1",6.69982075454916,"CPER","2","1"
"CPER_2020_DEM_mosaic_2025-10-22_2_30m.tif","sa_1",6.7251130124953,"CPER","2","30"
"CPER_2020_DEM_mosaic_2025-10-22_2_50m.tif","sa_1",6.67194874610899,"CPER","2","50"
"CPER_2020_DEM_mosaic_2025-10-22_2_5m.tif","sa_1",6.69948679757572,"CPER","2","5"
"CPER_2020_DEM_mosaic_2025-10-22_3_100m.tif","sa_1",6.01276424713134,"CPER","3","100"
"CPER_2020_DEM_mosaic_2025-10-22_3_10m.tif","sa_1",6.14632080746141,"CPER","3","10"
"CPER_2020_DEM_mosaic_2025-10-22_3_15m.tif","sa_1",6.16572843274244,"CPER","3","15"
"CPER_2020_DEM_mosaic_2025-10-22_3_1m.tif","sa_1",6.14791407645028,"CPER","3","1"
"CPER_2020_DEM_mosaic_2025-10-22_3_30m.tif","sa_1",6.15512734485016,"CPER","3","30"
"CPER_2020_DEM_mosaic_2025-10-22_3_50m.tif","sa_1",6.11020939369202,"CPER","3","50"
"CPER_2020_DEM_mosaic_2025-10-22_3_5m.tif","sa_1",6.14750551978786,"CPER","3","5"
"CPER_2020_DEM_mosaic_2025-10-22_4_100m.tif","sa_1",9.24420162200927,"CPER","4","100"
"CPER_2020_DEM_mosaic_2025-10-22_4_10m.tif","sa_1",9.27233352280813,"CPER","4","10"
"CPER_2020_DEM_mosaic_2025-10-22_4_15m.tif","sa_1",9.28920474744251,"CPER","4","15"
"CPER_2020_DEM_mosaic_2025-10-22_4_1m.tif","sa_1",9.27272369809975,"CPER","4","1"
"CPER_2020_DEM_mosaic_2025-10-22_4_30m.tif","sa_1",9.28702469275617,"CPER","4","30"
"CPER_2020_DEM_mosaic_2025-10-22_4_50m.tif","sa_1",9.26541586799619,"CPER","4","50"
"CPER_2020_DEM_mosaic_2025-10-22_4_5m.tif","sa_1",9.27261766772055,"CPER","4","5"
"CPER_2020_DEM_mosaic_2025-10-22_5_100m.tif","sa_1",4.94421493530273,"CPER","5","100"
"CPER_2020_DEM_mosaic_2025-10-22_5_10m.tif","sa_1",5.00348827687135,"CPER","5","10"
"CPER_2020_DEM_mosaic_2025-10-22_5_15m.tif","sa_1",5.00435176461701,"CPER","5","15"
"CPER_2020_DEM_mosaic_2025-10-22_5_1m.tif","sa_1",5.004272925586,"CPER","5","1"
"CPER_2020_DEM_mosaic_2025-10-22_5_30m.tif","sa_1",4.99950407934235,"CPER","5","30"
"CPER_2020_DEM_mosaic_2025-10-22_5_50m.tif","sa_1",4.9859557641983,"CPER","5","50"
"CPER_2020_DEM_mosaic_2025-10-22_5_5m.tif","sa_1",5.00404436407052,"CPER","5","5"
"CPER_2020_DEM_mosaic_2025-10-22_6_100m.tif","sa_1",7.82517344970703,"CPER","6","100"
"CPER_2020_DEM_mosaic_2025-10-22_6_10m.tif","sa_1",7.91512076502622,"CPER","6","10"
"CPER_2020_DEM_mosaic_2025-10-22_6_15m.tif","sa_1",7.92637953543045,"CPER","6","15"
"CPER_2020_DEM_mosaic_2025-10-22_6_1m.tif","sa_1",7.91612267191149,"CPER","6","1"
"CPER_2020_DEM_mosaic_2025-10-22_6_30m.tif","sa_1",7.92008099912706,"CPER","6","30"
