"func","ORNL_2018_DEM_mosaic_2025-10-22_1.tif","ORNL_2018_DEM_mosaic_2025-10-22_2.tif","ORNL_2018_DEM_mosaic_2025-10-22_3.tif","ORNL_2018_DEM_mosaic_2025-10-22_4.tif","ORNL_2018_DEM_mosaic_2025-10-22_5.tif","ORNL_2018_DEM_mosaic_2025-10-22_6.tif","ORNL_2018_DEM_mosaic_2025-10-22_7.tif","ORNL_2018_DEM_mosaic_2025-10-22_8.tif","ORNL_2018_DEM_mosaic_2025-10-22_9.tif","RMNP_2020_DEM_mosaic_2025-10-22_1.tif","RMNP_2020_DEM_mosaic_2025-10-22_2.tif","RMNP_2020_DEM_mosaic_2025-10-22_3.tif","RMNP_2020_DEM_mosaic_2025-10-22_4.tif","RMNP_2020_DEM_mosaic_2025-10-22_5.tif","RMNP_2020_DEM_mosaic_2025-10-22_6.tif","RMNP_2020_DEM_mosaic_2025-10-22_7.tif","RMNP_2020_DEM_mosaic_2025-10-22_8.tif","RMNP_2020_DEM_mosaic_2025-10-22_9.tif","CPER_2020_DEM_mosaic_2025-10-22_1.tif","CPER_2020_DEM_mosaic_2025-10-22_2.tif","CPER_2020_DEM_mosaic_2025-10-22_3.tif","CPER_2020_DEM_mosaic_2025-10-22_4.tif","CPER_2020_DEM_mosaic_2025-10-22_5.tif","CPER_2020_DEM_mosaic_2025-10-22_6.tif","CPER_2020_DEM_mosaic_2025-10-22_7.tif","CPER_2020_DEM_mosaic_2025-10-22_8.tif","CPER_2020_DEM_mosaic_2025-10-22_9.tif","WOOD_2019_DEM_mosaic_2025-10-22_1.tif","WOOD_2019_DEM_mosaic_2025-10-22_2.tif","WOOD_2019_DEM_mosaic_2025-10-22_3.tif","WOOD_2019_DEM_mosaic_2025-10-22_4.tif","WOOD_2019_DEM_mosaic_2025-10-22_5.tif","WOOD_2019_DEM_mosaic_2025-10-22_6.tif","WOOD_2019_DEM_mosaic_2025-10-22_7.tif","WOOD_2019_DEM_mosaic_2025-10-22_8.tif","WOOD_2019_DEM_mosaic_2025-10-22_9.tif"
"sa_1",16.4259437820389,18.739303066998,19.4641913559909,14.7878675285101,23.0731912674787,16.9417598440988,33.8015238009922,20.1026174078923,19.0263041686678,42.5589643020412,40.0573893220608,50.1974735284507,30.4223645352196,126.641014341791,129.024701241201,47.8926500490313,103.113719350845,109.056988919065,8.71514040870935,6.69982075454916,6.14791407645028,9.27272369809975,5.004272925586,7.91612267191149,8.66673279864606,10.0643660840676,4.40074129789887,6.8893900821579,5.96522641218155,6.05484825511655,5.80207902882275,6.76358267587359,7.07221122061715,4.9546735475655,5.18795116716389,6.24609259153148
"sq_1",20.0300808461917,23.0164758713568,24.4502631368708,18.093016373227,27.1983787874566,20.7362146552442,43.9127101394757,23.7459996996474,22.1206149192019,51.7785824704649,47.7477275321451,65.815773376359,37.7260041624801,152.648875067858,157.311820921877,59.4483001621002,129.918642507908,132.142112247658,10.5951026348601,8.1918709815307,7.57107222360034,10.8838796481442,6.17858988538784,9.51233065635578,10.5599260795084,11.204866600076,6.10135006348602,8.71880964737877,7.32455544787108,7.44024992314727,7.25023844701947,8.72001307310481,8.48066912083055,6.06802734048105,6.63754841194711,7.14265640904829
"s10z_1",323.569000244141,336.841796875,357.792602539062,324.944995117187,362.695599365234,354.909600830078,412.714202880859,340.757391357422,362.794201660156,2850.31000976563,2843.35,3007.96997070312,2681.6419921875,3198.29604492187,3474.4099609375,2801.41396484375,3177.30400390625,3114.60004882813,1669.6919921875,1666.57399902344,1683.30200195312,1657.15598144531,1657.72998046875,1685.78400878906,1663.27800292969,1665.833984375,1659.33195800781,633.256616210938,641.801794433594,636.848596191406,612.826586914063,626.356408691406,626.145593261719,596.007800292969,602.176989746094,598.610400390625
"sdq_1",0.223779227885823,0.295143308191377,0.299614616646338,0.279996472592221,0.267439094804597,0.335932291570757,0.324056975568245,0.354358554456996,0.29315534538125,0.261410502717844,0.25466726246336,0.321227775145231,0.313571018549693,0.498307274276043,0.629175538941378,0.350645917143581,0.483507918254344,0.501381163644219,0.0699686572528599,0.0745653642796179,0.0814623026114957,0.067419738263246,0.0636152120137544,0.0735546869604256,0.0729066547820821,0.0644078568866081,0.101285862504202,0.130890745409534,0.14422061711618,0.147392754456534,0.122685145140808,0.129687569377982,0.142530213462707,0.128924779488896,0.11985332603071,0.13576506719816
"sdq6_1",231572.317632872,230759.720887791,227225.052124798,222452.942179302,246288.644170031,243560.467101978,234662.393595578,234842.046581232,252603.854825325,2266174.81113708,2300477.05758717,2352086.87803851,2182619.55082795,2368475.41985031,2670170.22214771,2235515.64062853,2415207.61394385,2356811.01120112,1392849.60385874,1396263.12861177,1406757.03687652,1385722.49882121,1392808.90499837,1399049.16122965,1385400.60633993,1390033.5594028,1385134.10827939,514693.20692036,522871.450999881,517078.674872738,499905.119495905,507466.421151668,508161.065428806,488660.232621845,494101.857568745,492424.83403974
"sdr_1",0.000293877017726688,0.000393720181507413,0.000260253542372502,0.000410890130904635,0.000247024935968284,0.000504721163189802,0.000152896292124225,0.000574322108633416,0.000380074182824171,3.23921665351584e-05,6.4369123956758e-05,4.46193575327521e-05,0.000137941175005914,2.96325468462652e-05,3.7790574087408e-05,6.32278079462669e-05,3.63733249799524e-05,3.70325845144552e-05,9.9050386801228e-05,0.0001472454000437,0.000240932851451877,0.00011965512090884,0.000207603899132066,9.1980381989697e-05,9.68761495137472e-05,0.000101652802471839,0.00035875863459394,0.000447071568685825,0.00059333852260785,0.000483770606093389,0.000483797393450342,0.000429296331864834,0.000504436412432659,0.000643045740984905,0.000505865919184793,0.000914698782121894
"sbi_1",0.064810944947316,0.0732423297071303,0.0772127363566626,0.0609143273819516,0.0818801601804541,0.0634513398509071,0.11715272994699,0.0739400629731058,0.0663264954559502,0.018734358121463,0.0170362713936242,0.0224429586313085,0.0142391297542503,0.049230138970996,0.0464363101826776,0.0217853499581751,0.0416785298704782,0.0435786098851729,0.00637126969900312,0.00492593005058653,0.00451599894041178,0.00658292545973943,0.0037343473832346,0.00569880441310563,0.00638474768374576,0.0067593259271216,0.0036990210337399,0.0139677283287852,0.0115873781843954,0.0119231334017721,0.0120152636406058,0.0141050775376388,0.0138052619072526,0.0103357525582129,0.0111793495291797,0.0120562564124755
"sci_1",-139.952688394654,-132.660991739697,-120.8683578823,-136.357263553038,-140.23618983444,-147.847311687071,-70.1960346462091,-133.304055304558,-157.666131790611,-1852.19427660796,-1882.1130305744,-1855.56031711527,-1803.4976414892,-1621.53872581199,-1842.78052508776,-1784.86752066853,-1697.75185966203,-1676.13878148138,-1199.33880233428,-1207.85572691396,-1220.37871242636,-1194.9568194083,-1211.68657961811,-1207.51032206826,-1191.67322024333,-1200.24596988118,-1203.22470270589,-426.614960953827,-435.663875696431,-429.492375342275,-417.784820380928,-418.174537847002,-423.928132060024,-410.992093348081,-414.312116850504,-414.881246185521
"ssk_1",0.294369299373991,0.482517221364993,1.11230241655237,0.702572611926815,0.119645205857572,0.627634733062904,1.4444173307064,0.574342133260266,0.196759762433958,0.649353471455532,0.270520849572023,1.36518315078107,0.23031050907161,0.740434152340633,-0.309648000650482,-0.301635222510242,0.639062797066803,0.566106666321964,-0.204948884292598,-0.20031468733932,0.323245741356966,-0.351400798765455,-0.720258566934179,0.216817339005752,-0.204634336278809,-0.194235841994723,0.976578784026725,0.155301427939715,0.574963572927371,0.138237705343742,0.279053665244129,0.769111969147157,0.364431417632737,-0.257885077589535,-0.545027201177452,-0.108741339155414
"sku_1",-0.549699903604661,-0.510102026406732,0.742673931429593,-0.344921612016144,-0.949335064313097,-0.220686472144133,0.904939134047788,-0.527122453509895,-1.05306068707584,0.242548503951423,-0.817655601248112,1.29925646605816,-0.487307835111884,-0.519631694264493,-0.632395205282256,-0.359774746979045,-0.302824983660765,-0.577402826237884,-0.741105522470815,-0.618562616797439,-0.500173897579042,-1.00805273505877,-0.136371304408269,-0.538191081398798,-0.605419246946013,-1.34759959541094,1.87952693508368,-0.480547528138738,-0.0731216663359682,-0.360345786195103,-0.0603679565088271,0.163020400125505,-0.43345348213896,-0.569294972987899,-0.209752973005846,-1.20142345458619
